t,Dx,Dy,Dz
0,0.00119159,7788.48,7794.38
22.097,0.00594596,0.0878539,-0.19449
51198.8,1.35721,0.0306272,0.0528988
102398,1.08328,0.0857813,0.105904
153596,0.809958,0.0771405,0.0875934
204795,1.22135,-0.0841484,-0.0292055
255994,1.11714,-0.0846702,-0.116351
307193,1.25728,0.00332339,-0.0494889
358391,1.51024,-0.00677572,0.0217975
409590,0.843139,0.0544501,0.0704825
460789,1.48144,-0.00994099,-0.00257262
511988,1.41563,0.00909021,-0.0135577
563186,1.60387,0.0297308,-0.0643841
614385,1.16073,0.0489249,-0.0301405
665584,0.82166,0.0165787,0.0431382
716783,0.187997,-0.0424525,0.00476823
767981,-2.81805,-0.0155522,0.0549551
819180,-5.04549,0.0105178,0.0121062
870379,-4.54495,-0.00174883,0.00611787
921578,-2.88508,0.00182954,0.0168965
972777,-1.31155,0.0256676,0.0156934
1.02398e+06,-0.501262,0.0121084,0.00307343
1.07517e+06,-0.146061,0.010831,-0.00272338
1.12637e+06,-0.0382605,0.0143842,0.0011624
1.17757e+06,-0.0179093,0.0108402,-0.000410869
1.22877e+06,-0.00224703,0.00961896,0.00163072
1.27997e+06,-0.000375131,0.00748423,0.00135506
1.33117e+06,0,0.00613287,0.00118977
1.38237e+06,0,0.004819,0.00110612
1.43357e+06,0,0.00379865,0.00151559
1.48476e+06,0,0.00319392,0.00129771
1.53596e+06,0,0.00238208,0.000654986
1.58716e+06,0,0.00197221,0.000190046
1.63836e+06,0,0.00165675,-0.000106273
1.68956e+06,0,0.00147566,-0.000454543
1.74076e+06,0,0.00113012,-0.000316455
1.79196e+06,0,0.000875729,-0.000147143
1.84316e+06,0,0.000966373,-0.000388658
1.89435e+06,0,0.000942694,-0.000578136
1.94555e+06,0,0.000720541,-0.000466872
1.99675e+06,0,0.00040734,-0.000261025
2.04795e+06,0,0.000215318,-5.39324e-05
2.09915e+06,0,0.000293616,-0.000256454
2.15035e+06,0,9.67244e-05,-2.85626e-05
2.20155e+06,0,3.24453e-05,-2.02198e-05
2.25275e+06,0,-8.92757e-05,1.52161e-05
2.30394e+06,0,-0.000105188,2.7365e-07
2.35514e+06,0,-5.26815e-05,-3.90236e-05
2.40634e+06,0,-6.75777e-05,1.39544e-05
2.45754e+06,0,-2.79401e-05,2.64963e-05
2.50874e+06,0,3.0826e-05,3.37529e-05
2.55994e+06,0,6.17353e-05,3.49322e-05
2.61114e+06,0,0.000103315,-3.68448e-05
2.66234e+06,0,0.000120218,-1.64746e-05
2.71353e+06,0,0.000135496,-1.26543e-05
2.76473e+06,0,0.000125453,-6.9317e-06
2.81593e+06,0,0.000121652,-1.10882e-05
2.86713e+06,0,5.79382e-05,5.30712e-06
2.91833e+06,0,4.20185e-05,-6.36263e-05
2.96953e+06,0,1.33827e-05,-8.55167e-05
3.02073e+06,0,-4.10574e-05,-0.000121211
3.07193e+06,0,-8.65071e-05,-0.000151148
3.12312e+06,0,-0.000123673,-0.00019687
3.17432e+06,0,-0.000181015,-0.000233157
3.22552e+06,0,-0.000213959,-0.00024723
3.27672e+06,0,-0.000265181,-0.000259534
3.32792e+06,0,-0.000286511,-0.000248714
3.37912e+06,0,-0.000284687,-0.000229848
3.43032e+06,0,-0.00029503,-0.000217
3.48152e+06,0,-0.000282371,-0.000194293
3.53271e+06,0,-0.000260296,-0.000161887
3.58391e+06,0,-0.000231998,-0.000136517
3.63511e+06,0,-0.000211715,-0.000115617
3.68631e+06,0,-0.000185954,-9.35164e-05
3.73751e+06,0,-0.000161699,-7.54642e-05
3.78871e+06,0,-0.000151394,-6.48166e-05
3.83991e+06,0,-0.0001476,-5.85702e-05
3.89111e+06,0,-0.00013084,-4.4546e-05
3.9423e+06,0,-0.000128686,-3.64202e-05
3.9935e+06,0,-0.000122965,-3.28193e-05
4.0447e+06,0,-0.000129643,-2.672e-05
4.0959e+06,0,-0.000132533,-3.15524e-05
4.1471e+06,0,-0.00010777,-1.96693e-05
4.1983e+06,0,-9.88255e-05,-1.42957e-05
4.2495e+06,0,-0.000107804,-9.38955e-06
4.3007e+06,0,-9.86092e-05,-1.17326e-06
4.35189e+06,0,-8.82989e-05,-9.03118e-06
4.40309e+06,0,-0.000104404,8.85719e-08
4.45429e+06,0,-9.19207e-05,1.1525e-05
4.50549e+06,0,-8.4487e-05,1.06407e-05
4.55669e+06,0,-7.50817e-05,9.16684e-06
4.60789e+06,0,-6.16492e-05,5.67133e-06
4.65909e+06,0,-4.44314e-05,-2.51719e-06
4.71029e+06,0,-4.86051e-05,-2.35517e-06
4.76148e+06,0,-5.12468e-05,-1.29718e-06
4.81268e+06,0,-4.60138e-05,-6.84329e-06
4.86388e+06,0,-4.26945e-05,1.73046e-06
4.91508e+06,0,-2.62055e-05,1.00337e-06
4.96628e+06,0,-1.18846e-05,-3.67421e-06
5.01748e+06,0,-2.22318e-05,-6.18779e-06
5.06868e+06,0,-1.38644e-05,-4.4427e-06
5.11988e+06,0,2.55478e-06,-9.57255e-06
