id,x coord,y coord,z coord
230,10239.8,652.201,323.688
231,10239.8,633.605,737.935
232,10240,892.395,677.968
233,10239.9,652.198,323.688
234,10240,1007.99,977.998
235,10239.9,1007.99,977.997
236,10239.9,633.605,737.935
237,10239.9,652.2,323.688
238,10240,764.517,1243.99
239,10239.9,927.582,205.318
240,10240,1007.99,977.998
241,10240,275.176,674.437
242,10239.9,762.091,1063.03
243,10240,652.203,323.688
244,10240,516.518,593.028
245,10239.9,894.523,391.597
246,10240,422.827,749.905
247,10239.9,1061.4,700.164
248,10240,130.636,203.467
249,10239.9,231.018,1115.47
250,10240,764.158,1068.66
251,10239.9,629.248,897.571
252,10239.9,1007.99,977.998
253,10240,633.605,737.934
254,10240,487.933,867.604
255,10240,145.485,998.461
256,10240,234.47,319.876
257,10240,258.611,14.1085
258,10239.9,778.239,567.864
259,10240,1125.54,338.239
260,10239.9,613.465,1031.05
261,10239.9,633.605,737.935
262,10240,17.5343,188.735
263,10240,249.302,430.236
264,10240,259.159,493.537
265,10240,419.096,924.778
266,10239.8,731.589,216.709
267,10240,231.017,1115.47
268,10240,488.23,867.223
269,10240,513.908,593.484
270,10240,491.533,584.052
271,10240,633.597,737.666
272,10240,234.627,1114.98
273,10240,237.765,1005.03
274,10240,927.585,205.561
275,10239.9,780.732,574.449
276,10240,636.336,302.167
277,10240,1046.54,3.12677
278,10240,465.563,899.632
279,10240,252.007,325.344
280,10239.9,1007.99,977.998
281,10240,941.114,501.967
282,10240,275.176,674.437
283,10240,811.405,1263.58
284,10240,419.79,923.138
285,10239.9,640.249,307.937
286,10240,1061.49,700.18
287,10240,652.2,323.688
288,10239.9,629.162,290.881
289,10240,1042.52,844.97
290,10240,277.964,170.959
291,10239.9,515.018,592.988
292,10239.9,346.768,1023.55
293,10240,477.814,879.052
294,10240,514.951,592.772
295,10239.9,928.026,208.886
296,10239.9,941.114,501.967
297,10240,79.7374,837.727
298,10240,1007.99,978.024
299,10240,731.589,216.709
300,10240,141.804,1000.26
301,10240,253.269,329.923
302,10239.9,145.032,763.709
303,10240,423.18,749.713
304,10240,1071.35,702.819
305,10240,56.6299,400.77
306,10239.9,514.95,592.769
307,10240,906.276,420.345
308,10239.9,633.605,737.935
309,10240,652.198,323.688
310,10239.7,731.589,216.709
311,10240,941.114,501.968
312,10240,255.458,334.647
313,10239.9,274.476,673.028
314,10240,776.065,563.948
315,10240,490.627,864.852
316,10240,251.955,325.692
317,10240,477.609,879.178
318,10240,462.385,413.603
319,10239.9,652.201,323.688
320,10240,277.968,171.164
321,10240,253.526,330.735
322,10239.8,633.605,737.935
323,10240,217.971,956.033
324,10240,921.974,444.38
325,10240,197.2,319.97
326,10240,422.764,749.926
327,10240,1007.99,978.06
328,10240,629.248,897.571
329,10240,1007.99,977.998
330,10240,145.035,763.715
331,10240,477.764,879.06
332,10240,629.247,897.571
333,10240,633.605,737.935
334,10240,633.605,737.935
335,10239.9,346.768,1023.55
336,10240,682.842,482.247
337,10240,1065.23,700.746
338,10239.9,927.582,205.282
339,10240,893.351,679.012
340,10240,566.204,123.844
341,10239.9,873.055,1157.18
342,10240,847.291,776.965
343,10240,85.9466,1094.94
344,10240,1007.99,977.998
345,10240,240.903,320.696
346,10240,491.077,864.16
347,10240,477.19,879.258
348,10240,184.555,1240.47
349,10240,1054.78,698.861
350,10240,813.589,1264.11
351,10240,652.2,323.688
352,10240,246.904,426.475
353,10240,1069.7,701.716
354,10240,1007.99,977.998
355,10240,251.904,325.334
356,10240,346.768,1023.55
357,10240,1125.54,338.238
358,10239.9,780.805,574.486
359,10240,87.201,842.995
360,10240,670.862,739.37
361,10240,873.072,1157.21
362,10240,613.465,1031.05
363,10240,507.736,237.937
364,10240,251.092,420.887
365,10240,941.114,501.967
366,10240,514.974,592.855
367,10239.9,346.768,1023.55
368,10240,275.176,674.436
369,10240,1007.99,977.998
370,10240,1007.99,977.998
371,10240,265.691,387.825
372,10240,873.3,1157.22
373,10240,1075.42,499.4
374,10240,1071.41,702.837
375,10239.9,514.938,592.739
376,10240,927.598,206.004
377,10240,85.9893,1094.66
378,10240,927.583,205.437
379,10240,633.605,737.935
380,10240,633.605,737.935
381,10239.7,633.605,737.935
382,10240,514.949,592.765
383,10240,633.605,737.935
384,10240,613.465,1031.04
385,10239.9,258.594,14.1085
386,10240,1071.51,695.26
387,10239.8,633.605,737.935
388,10240,633.605,737.935
389,10239.9,160.81,563.499
390,10240,132.695,201.93
391,10239.9,250.5,421.825
392,10240,265.995,386.935
393,10239.9,1071.65,702.868
394,10240,927.616,206.344
395,10240,514.975,592.859
396,10239.9,613.465,1031.04
397,10240,731.589,216.709
398,10240,514.901,592.71
399,10240,463.365,410.921
400,10240,893.352,679.012
401,10240,941.114,501.966
402,10240,633.605,737.935
403,10240,1131.1,551.583
404,10240,683.313,857.74
405,10240,613.466,1031.08
406,10239.9,629.246,897.571
407,10240,1046.64,3.1428
408,10239.9,249.803,427.744
409,10239.9,941.114,501.967
410,10239.9,275.176,674.436
411,10239.9,346.768,1023.55
412,10240,777.885,570.852
413,10240,277.972,171.289
414,10239.9,1007.99,977.998
415,10239.9,629.876,291.449
416,10239.9,249.155,424.439
417,10240,346.768,1023.55
418,10240,467.463,404.753
419,10240,705.812,732.409
420,10240,821.914,772.899
421,10239.9,253.37,415.532
422,10240,530.859,1161.49
423,10240,941.114,501.966
424,10240,682.817,482.281
425,10240,478.003,878.69
426,10240,691.24,751.153
427,10240,251.858,324.509
428,10239.9,422.803,749.913
429,10240,633.605,737.935
430,10240,702.754,985.991
431,10239.9,633.605,737.935
432,10240,927.582,205.261
433,10240,776.271,564.418
434,10239.6,633.605,737.935
435,10240,1192.9,781.288
436,10240,872.577,1158.15
437,10240,613.465,1031.05
438,10240,513.288,592.487
439,10240,418.364,926.859
440,10239.7,633.605,737.935
441,10240,647.497,318.746
442,10240,613.465,1031.04
443,10240,897.633,399.744
444,10240,1192.9,781.288
445,10240,419.496,753.548
446,10239.9,249.17,432.96
447,10239.9,895.735,680.824
448,10240,852.327,776.219
449,10240,259.378,495.212
450,10240,150.201,549.509
451,10240,514.279,592.727
452,10239.9,633.605,737.935
453,10239.9,1029.27,1243.06
454,10240,251.897,325.105
455,10239.9,1125.54,338.242
456,10240,941.114,501.968
457,10240,1068.85,701.619
458,10239.9,249.251,437.514
459,10239.9,629.257,897.571
460,10240,1261.64,1006.33
461,10240,893.351,679.012
462,10240,346.768,1023.55
463,10240,514.935,592.733
464,10240,575.524,411.37
465,10240,1013.07,988.699
466,10240,1180.67,125.745
467,10240,419.043,924.89
468,10240,629.249,897.571
469,10240,252.181,326.909
470,10240,702.255,985.486
471,10239.9,927.871,207.897
472,10240,782.421,576.049
473,10240,778.134,567.075
474,10239.9,661.459,103.821
475,10240,1068.95,701.631
476,10239.9,633.605,737.935
477,10240,258.594,14.1085
478,10240,391.081,845.141
479,10239.9,575.524,411.37
480,10240,1071.61,702.866
481,10240,613.465,1031.06
482,10240,1075.42,499.4
483,10240,927.582,205.328
484,10240,1071.61,702.865
485,10240,144.427,999.946
486,10240,891.668,383.932
487,10240,613.465,1031.04
488,10240,475.968,879.955
489,10239.9,1007.99,977.998
490,10240,277.936,171.245
491,10239.9,264.689,390.367
492,10239.9,231.018,1115.47
493,10239.9,651.889,323.51
494,10240,1007.99,977.998
495,10239.9,1007.99,977.997
496,10240,633.605,737.935
497,10240,391.237,845.753
498,10239.8,633.605,737.935
499,10240,462.858,412.338
500,10240,575.524,411.37
501,10240,85.9473,1094.93
502,10240,629.258,897.572
503,10240,784.257,519.083
504,10240,758.325,1053.7
505,10239.9,515.108,592.988
506,10239.8,633.605,737.935
507,10240,418.129,557.474
508,10240,422.233,749.949
509,10240,85.9465,1094.94
510,10240,702.11,985.438
511,10240,629.249,897.571
512,10240,252.566,314.989
513,10240,457.991,573.835
514,10240,515.188,592.99
515,10240,240.552,321.889
516,10239.8,702.254,985.486
517,10240,561.288,1173.51
518,10240,1131.61,551.727
519,10240,873.068,1157.21
520,10239.9,850.217,293.544
521,10239.9,782.141,577.809
522,10240,682.859,482.228
523,10240,252.047,326.279
524,10240,393.898,804.362
525,10240,514.936,592.733
526,10240,854.192,950.022
527,10239.9,1007.99,977.998
528,10240,531.583,1160.62
529,10239.9,275.176,674.437
530,10240,231.09,1115.47
531,10240,941.114,501.967
532,10240,941.114,501.967
533,10240,1075.42,499.4
534,10240,1192.9,781.288
535,10240,277.979,171.433
536,10239.9,853.477,776.064
537,10240,871.66,1160.36
538,10239.9,652.203,323.688
539,10239.9,416.002,556.071
540,10239.9,1125.54,338.237
541,10239.9,495.271,858.721
542,10240,251.958,325.678
543,10240,251.941,325.575
544,10239.9,346.768,1023.55
545,10239.9,633.605,737.935
546,10239.9,275.176,674.437
547,10240,141.713,1000.27
548,10240,251.857,324.455
549,10240,514.934,592.73
550,10240,487.555,582.366
551,10240,252.143,322.54
552,10240,391.244,845.685
553,10240,613.465,1031.04
554,10240,419.84,412.194
555,10240,463.504,410.67
556,10239.9,927.582,205.335
557,10240,98.2944,507.888
558,10240,1007.99,978.055
559,10239.9,1261.64,1006.33
560,10239.9,633.605,737.935
561,10240,424.099,749.063
562,10240,759.524,1056.04
563,10239.9,927.582,205.242
564,10240,275.176,674.435
565,10240,1075.42,499.4
566,10240,391.098,202.394
567,10240,776.664,565.269
568,10240,780.519,573.779
569,10239.9,231.018,1115.47
570,10240,1125.54,338.243
571,10240,852.94,776.114
572,10239.9,1192.9,781.288
573,10240,137.758,192.979
574,10240,731.589,216.709
575,10239.9,409.797,550.758
576,10240,660.936,103.821
577,10240,624.46,283.724
578,10240,914.839,443.598
579,10240,252,317.337
580,10239.9,702.254,985.486
581,10239.9,633.605,737.935
582,10240,275.072,673.887
583,10239.9,1125.54,338.238
584,10240,778.636,567.749
585,10239.9,231.018,1115.47
586,10240,780.044,572.799
587,10240,418.444,926.382
588,10240,1261.64,1006.33
589,10240,580.196,109.521
590,10240,781.308,575.377
591,10240,941.112,501.96
592,10240,1071.72,702.8
593,10240,134.464,200.859
594,10240,702.255,985.486
595,10240,598.543,1105.15
596,10240,780.091,573.412
597,10240,275.176,674.436
598,10240,629.247,897.571
599,10239.9,633.605,737.935
600,10240,141.942,1000.26
601,10240,613.42,1031.41
602,10240,83.3926,840.103
603,10239.9,731.589,216.709
604,10240,85.2123,841.818
605,10240,889.706,373.176
606,10240,250.228,428.131
607,10240,1070.23,701.998
608,10239.9,514.921,592.715
609,10240,633.605,737.935
610,10239.9,1125.54,338.24
611,10240,1125.54,338.238
612,10239.9,703.021,986.308
613,10240,390.631,846.342
614,10240,134.398,201.843
615,10240,275.176,674.437
616,10240,893.352,679.012
617,10240,251.913,325.311
618,10240,474.192,882.001
619,10239.9,250.729,422.067
620,10240,280.873,170.919
621,10240,416.148,555.866
622,10240,346.768,1023.55
623,10240,873.045,1157.22
624,10240,702.255,985.486
625,10239.9,275.176,674.437
626,10240,257.164,407.485
627,10240,390.737,826.658
628,10240,418.812,745.78
629,10240,275.175,674.434
630,10239.9,346.768,1023.55
631,10240,251.869,324.562
632,10240,477.871,578.667
633,10240,1007.99,977.997
634,10240,893.351,679.012
635,10239.9,941.114,501.967
636,10240,684.15,480.672
637,10240,613.465,1031.04
638,10240,81.7511,839.396
639,10239.8,231.018,1115.47
640,10240,778.446,568.578
641,10240,941.114,501.967
642,10240,613.465,1031.05
643,10240,277.994,171.206
644,10239.9,941.114,501.967
645,10240,629.249,897.571
646,10240,927.583,205.414
647,10240,258.293,483.444
648,10240,275.176,674.437
649,10240,592.645,95.0075
650,10240,1131.65,551.809
651,10240,627.577,714.525
652,10240,889.008,366.363
