t,Dx,Dy,Dz
0,0.00158888,3909.34,3880.03
44.3933,0.00790255,0.16615,0.154207
25592.8,0.395252,0.0479543,0.126311
51185.5,0.788733,-0.0276297,-0.135377
76778.3,0.488423,0.00241477,-0.0604348
102371,0.63604,0.0804873,0.0581162
127964,0.858129,0.0243463,-0.0527889
153557,0.499575,0.0545558,-0.054754
179149,0.570109,-0.0496181,0.0751244
204742,0.383278,-0.070221,-0.00223366
230335,-2.27139,-0.019689,0.0311213
255928,-2.23244,-0.0183551,0.0306882
281520,-0.249708,0.0291029,0.0158293
307113,-0.007955,0.0224816,0.0210842
332706,0,0.0163874,0.0165797
358299,0,0.0116019,0.0134369
383891,0,0.00870829,0.00997213
409484,0,0.00722723,0.00711241
435077,0,0.00617904,0.00520963
460670,0,0.00543818,0.0039542
486262,0,0.0051343,0.00302853
511855,0,0.00469379,0.00222713
537448,0,0.00449397,0.00187593
563041,0,0.0043995,0.0014394
588633,0,0.00440408,0.00106707
614226,0,0.00440277,0.000487403
639819,0,0.00436961,-4.85928e-06
665412,0,0.00439784,-0.000292898
691004,0,0.00434908,-0.000582106
716597,0,0.00427521,-0.000851712
742190,0,0.00405736,-0.00113954
767783,0,0.00388975,-0.0013449
793375,0,0.00372282,-0.00154762
818968,0,0.00358736,-0.00172786
844561,0,0.00334434,-0.00182861
870154,0,0.00323522,-0.00184265
895746,0,0.00304892,-0.00172826
921339,0,0.00298002,-0.00157529
946932,0,0.00287993,-0.00146589
972525,0,0.00277336,-0.00131269
998117,0,0.00256999,-0.00126607
1.02371e+06,0,0.00237381,-0.0011843
1.0493e+06,0,0.00215463,-0.00114942
1.0749e+06,0,0.00206698,-0.00105554
1.10049e+06,0,0.00199251,-0.0009489
1.12608e+06,0,0.00181468,-0.000897979
1.15167e+06,0,0.00174507,-0.000866847
1.17727e+06,0,0.00159892,-0.000785763
1.20286e+06,0,0.00142909,-0.000740896
1.22845e+06,0,0.00139043,-0.000675644
1.25404e+06,0,0.00122482,-0.000637641
1.27964e+06,0,0.00110798,-0.000614853
1.30523e+06,0,0.00106534,-0.000549966
1.33082e+06,0,0.000984677,-0.000562025
1.35642e+06,0,0.000870286,-0.000639677
1.38201e+06,0,0.000767139,-0.000582354
1.4076e+06,0,0.000694,-0.000552494
1.43319e+06,0,0.000722189,-0.000516452
1.45879e+06,0,0.000681434,-0.000465876
1.48438e+06,0,0.00067792,-0.000409527
1.50997e+06,0,0.000636894,-0.000390662
1.53557e+06,0,0.000524375,-0.000373539
1.56116e+06,0,0.000502443,-0.00037568
1.58675e+06,0,0.000433859,-0.000344923
1.61234e+06,0,0.000444213,-0.000325779
1.63794e+06,0,0.000397284,-0.000277936
1.66353e+06,0,0.000293699,-0.000300229
1.68912e+06,0,0.000213379,-0.000295006
1.71471e+06,0,0.000193666,-0.000280726
1.74031e+06,0,0.000134406,-0.000230833
1.7659e+06,0,9.43747e-05,-0.000217094
1.79149e+06,0,5.45201e-05,-0.000206574
1.81709e+06,0,-3.83971e-07,-0.000209071
1.84268e+06,0,-2.96907e-05,-0.00019862
1.86827e+06,0,-4.61563e-05,-0.0001877
1.89386e+06,0,-6.3548e-05,-0.000167498
1.91946e+06,0,-0.000109767,-0.000153702
1.94505e+06,0,-0.000120544,-0.000139983
1.97064e+06,0,-0.000141175,-0.000147755
1.99623e+06,0,-0.000166553,-0.000110215
2.02183e+06,0,-0.000183277,-9.47342e-05
2.04742e+06,0,-0.000204338,-8.87552e-05
2.07301e+06,0,-0.000200699,-9.20428e-05
2.09861e+06,0,-0.000227182,-9.11018e-05
2.1242e+06,0,-0.000237483,-8.97193e-05
2.14979e+06,0,-0.000244055,-9.28709e-05
2.17538e+06,0,-0.000265919,-9.05468e-05
2.20098e+06,0,-0.000282014,-0.000112649
2.22657e+06,0,-0.000290454,-0.000105102
2.25216e+06,0,-0.000291374,-9.76974e-05
2.27776e+06,0,-0.0002979,-9.46804e-05
2.30335e+06,0,-0.000304922,-0.000108605
2.32894e+06,0,-0.000301725,-0.000108373
2.35453e+06,0,-0.000292943,-0.000121928
2.38013e+06,0,-0.000290129,-0.000116447
2.40572e+06,0,-0.000286539,-0.000114026
2.43131e+06,0,-0.000281503,-0.000122965
2.4569e+06,0,-0.000270978,-0.00011822
2.4825e+06,0,-0.000263275,-0.000127933
2.50809e+06,0,-0.000251621,-0.000128122
2.53368e+06,0,-0.000247932,-0.000129356
2.55928e+06,0,-0.000205367,-0.000125587
