t,Dx,Dy,Dz
0,0.00145584,3977.69,3940.3
44.3933,0.00728224,-0.0717269,-0.0889484
25592.8,0.53142,-0.0178343,0.207405
51185.5,0.787192,0.0271095,-0.0857811
76778.3,0.49378,0.136449,-0.0585825
102371,0.476838,-0.0322144,-0.0223194
127964,0.546922,0.096699,0.0356974
153557,0.597638,0.0107249,0.0613595
179149,0.521202,0.0469204,0.0217714
204742,-0.102258,-0.0507307,-0.0527575
230335,-1.98966,-0.0109949,-0.042456
255928,-2.1771,0.0170924,-0.0157822
281520,-0.208625,0.0194081,0.00171139
307113,-0.00404922,0.0177495,0.00486055
332706,0,0.0168917,0.00484274
358299,-1.76726e-07,0.0158201,0.00325322
383891,0,0.01424,0.00179248
409484,0,0.0126348,0.00109922
435077,0,0.0112989,0.000606101
460670,0,0.0103996,0.00043745
486262,0,0.00986056,0.000455012
511855,0,0.00921396,0.000418464
537448,0,0.00841868,0.00028862
563041,0,0.00764453,0.000196294
588633,0,0.00705732,1.84466e-05
614226,0,0.00650557,-8.15522e-05
639819,0,0.00612699,-0.000165482
665412,0,0.00572898,-0.000301014
691004,0,0.00527783,-0.000576854
716597,0,0.00488113,-0.000941006
742190,0,0.00469385,-0.0011258
767783,0,0.00442565,-0.00119619
793375,0,0.00420002,-0.00120311
818968,0,0.0040329,-0.00125337
844561,0,0.00389779,-0.00125856
870154,0,0.00378864,-0.00117182
895746,0,0.00374594,-0.00106412
921339,0,0.00355511,-0.00098754
946932,0,0.00326924,-0.00100191
972525,0,0.00298143,-0.00106485
998117,0,0.00271468,-0.000990863
1.02371e+06,0,0.00260213,-0.000834594
1.0493e+06,0,0.00251004,-0.000667635
1.0749e+06,0,0.00242366,-0.000510298
1.10049e+06,0,0.00240784,-0.000417932
1.12608e+06,0,0.00236613,-0.000351894
1.15167e+06,-8.89505e-08,0.00238793,-0.000247119
1.17727e+06,0,0.00240721,-0.000190706
1.20286e+06,0,0.00240585,-0.000137615
1.22845e+06,0,0.00240558,-0.000108783
1.25404e+06,0,0.00242189,-4.9295e-05
1.27964e+06,0,0.00247648,-5.00883e-05
1.30523e+06,0,0.00246178,-3.93968e-06
1.33082e+06,0,0.00243935,7.79457e-05
1.35642e+06,0,0.00247263,0.000191528
1.38201e+06,0,0.00257648,0.000354048
1.4076e+06,0,0.00267764,0.000535712
1.43319e+06,0,0.0028209,0.000693661
1.45879e+06,0,0.00293853,0.000901826
1.48438e+06,0,0.00303086,0.00108628
1.50997e+06,0,0.00307809,0.00119909
1.53557e+06,0,0.00303307,0.00125229
1.56116e+06,0,0.00292628,0.00125691
1.58675e+06,0,0.00274515,0.00122708
1.61234e+06,0,0.00249839,0.001227
1.63794e+06,0,0.00228133,0.0012143
1.66353e+06,0,0.00213565,0.00123557
1.68912e+06,0,0.00207206,0.00128057
1.71471e+06,0,0.00201145,0.00131094
1.74031e+06,0,0.00187053,0.0012558
1.7659e+06,0,0.00169389,0.00121018
1.79149e+06,0,0.00151562,0.00121103
1.81709e+06,0,0.00131473,0.00121637
1.84268e+06,0,0.00110958,0.0011765
1.86827e+06,0,0.000933511,0.00115191
1.89386e+06,0,0.000799266,0.0011195
1.91946e+06,0,0.000672051,0.00110011
1.94505e+06,0,0.000570037,0.00108676
1.97064e+06,0,0.000485382,0.00104257
1.99623e+06,0,0.00040983,0.000984544
2.02183e+06,0,0.000377488,0.000930932
2.04742e+06,0,0.000321531,0.000912255
2.07301e+06,0,0.000302599,0.000906661
2.09861e+06,0,0.000268283,0.000897809
2.1242e+06,0,0.000234325,0.000862691
2.14979e+06,0,0.000237995,0.000860012
2.17538e+06,0,0.000226061,0.000856404
2.20098e+06,0,0.000202115,0.000849209
2.22657e+06,0,0.000192159,0.000864364
2.25216e+06,0,0.000201957,0.000851698
2.27776e+06,0,0.000189179,0.000839632
2.30335e+06,0,0.000187095,0.000802072
2.32894e+06,0,0.000218983,0.00078062
2.35453e+06,0,0.000215047,0.000752249
2.38013e+06,0,0.000201075,0.000702495
2.40572e+06,0,0.000179408,0.000650141
2.43131e+06,0,0.00015379,0.000587696
2.4569e+06,0,0.000126061,0.000532921
2.4825e+06,0,8.69758e-05,0.000481168
2.50809e+06,0,8.15927e-05,0.000421048
2.53368e+06,0,5.4236e-05,0.000354012
2.55928e+06,0,3.61108e-05,0.000298042
