t,Dx,Dy,Dz
0,0.00154111,3892.93,3945.46
44.3933,0.00761998,0.0474704,-0.0663318
25592.8,0.513134,0.144883,0.0884332
51185.5,0.637074,-0.00335839,-0.156942
76778.3,0.546666,0.0662963,0.062284
102371,0.728105,0.0304172,-0.126548
127964,0.579304,0.0531881,0.0426486
153557,0.387446,-0.0342586,0.177031
179149,0.711266,-0.05181,0.0600963
204742,0.521109,0.0675509,0.025506
230335,-2.03589,0.0194312,0.0418775
255928,-2.09006,0.0242174,-0.0186054
281520,-0.140594,0.0239667,-0.00338008
307113,-0.00319284,0.0195447,0.0038654
332706,0,0.0191803,0.00563791
358299,0,0.017935,0.00660591
383891,-3.44893e-07,0.0164946,0.00726719
409484,0,0.0155141,0.00735153
435077,0,0.0145773,0.00687097
460670,0,0.0137711,0.00621734
486262,0,0.0130775,0.0055511
511855,0,0.0124186,0.00487299
537448,0,0.0117392,0.00432507
563041,0,0.0110897,0.00399116
588633,0,0.0105265,0.00378474
614226,0,0.00980669,0.00349138
639819,0,0.00919866,0.00321715
665412,0,0.00856865,0.00293655
691004,0,0.00799124,0.00277686
716597,0,0.00732464,0.00274286
742190,0,0.00683588,0.00273103
767783,0,0.00637916,0.00281566
793375,0,0.005985,0.00296446
818968,0,0.00573797,0.00307147
844561,0,0.00542461,0.0030372
870154,0,0.00521741,0.00298478
895746,0,0.00505922,0.0028763
921339,0,0.00488087,0.00285434
946932,0,0.00484368,0.00280885
972525,0,0.00473142,0.00279058
998117,0,0.00456269,0.00273779
1.02371e+06,0,0.00431087,0.00271684
1.0493e+06,0,0.00407236,0.00272999
1.0749e+06,0,0.00392216,0.00278471
1.10049e+06,0,0.00376686,0.00288937
1.12608e+06,0,0.00363015,0.00306606
1.15167e+06,0,0.00352744,0.0031462
1.17727e+06,0,0.00336515,0.00325072
1.20286e+06,0,0.00322478,0.00326866
1.22845e+06,0,0.00310867,0.00318408
1.25404e+06,0,0.00295131,0.00295422
1.27964e+06,0,0.00286257,0.00271933
1.30523e+06,0,0.00276312,0.00243534
1.33082e+06,0,0.0026654,0.00224255
1.35642e+06,0,0.00265534,0.00198878
1.38201e+06,0,0.00263881,0.00171275
1.4076e+06,0,0.00255557,0.0013961
1.43319e+06,0,0.00249059,0.00103218
1.45879e+06,0,0.00243946,0.000638834
1.48438e+06,0,0.00243119,0.000313955
1.50997e+06,0,0.00249094,3.681e-05
1.53557e+06,0,0.00256406,-8.41325e-05
1.56116e+06,0,0.00265372,-0.000165047
1.58675e+06,0,0.00276673,-0.000222444
1.61234e+06,0,0.00285973,-0.000329973
1.63794e+06,0,0.00302207,-0.000370518
1.66353e+06,0,0.00320801,-0.000482983
1.68912e+06,0,0.00343141,-0.000536074
1.71471e+06,0,0.00357694,-0.000567153
1.74031e+06,0,0.00373341,-0.000586765
1.7659e+06,0,0.00385685,-0.00062156
1.79149e+06,0,0.00393552,-0.00062984
1.81709e+06,0,0.00401188,-0.000658258
1.84268e+06,0,0.0040342,-0.000673301
1.86827e+06,0,0.00409862,-0.00069739
1.89386e+06,0,0.00419793,-0.000679891
1.91946e+06,0,0.00429598,-0.00066669
1.94505e+06,0,0.00434505,-0.000619264
1.97064e+06,0,0.00434863,-0.00056246
1.99623e+06,0,0.00427015,-0.000484984
2.02183e+06,0,0.00414991,-0.00046096
2.04742e+06,0,0.00390932,-0.000404047
2.07301e+06,0,0.00362738,-0.000343262
2.09861e+06,0,0.00326257,-0.000278528
2.1242e+06,0,0.0029129,-0.000260462
2.14979e+06,0,0.00258817,-0.000233882
2.17538e+06,0,0.00229007,-0.000198431
2.20098e+06,0,0.00200759,-0.000177421
2.22657e+06,0,0.00177168,-0.000166345
2.25216e+06,0,0.00157838,-0.000140265
2.27776e+06,0,0.00140004,-9.32545e-05
2.30335e+06,0,0.0012531,-7.84454e-05
2.32894e+06,0,0.00111538,-6.895e-05
2.35453e+06,0,0.00100231,-5.37249e-05
2.38013e+06,0,0.000887444,-2.94647e-05
2.40572e+06,0,0.000776288,-1.11038e-05
2.43131e+06,0,0.000670372,3.01729e-07
2.4569e+06,0,0.000571046,1.771e-05
2.4825e+06,0,0.000466185,2.73903e-05
2.50809e+06,0,0.000361717,3.62622e-05
2.53368e+06,0,0.000264588,4.43553e-05
2.55928e+06,0,0.000193505,4.57976e-05
