t,Dx,Dy,Dz
0,0.00152816,3966.54,3908.87
44.3933,0.00765215,0.331032,-0.147236
25592.8,0.48244,0.123542,-0.128844
51185.5,0.434834,-0.0901027,0.0216689
76778.3,0.531327,-0.0574842,-0.030076
102371,0.680659,0.0831198,0.0576013
127964,0.46558,0.0756234,0.0369876
153557,0.709044,0.00814488,-0.0381827
179149,0.589059,-0.0437848,0.0118604
204742,0.5878,0.0669088,0.0180515
230335,-2.11631,-0.0186371,-0.0780411
255928,-2.24633,0.00745951,-0.00753591
281520,-0.322761,0.00251872,-0.0197061
307113,-0.00758555,0.00931082,-0.00126573
332706,0,0.0121808,0.00234346
358299,2.03076e-08,0.0115905,0.00396661
383891,0,0.0108024,0.00447212
409484,4.49787e-08,0.00961734,0.00436769
435077,0,0.00827982,0.00409451
460670,0,0.00703124,0.00372875
486262,0,0.00618104,0.00340551
511855,-2.7625e-07,0.00544988,0.00314566
537448,0,0.00495041,0.00272998
563041,0,0.00453497,0.00217038
588633,0,0.00410355,0.00168561
614226,0,0.00379697,0.00119554
639819,0,0.00330172,0.000868855
665412,0,0.00283079,0.000611396
691004,0,0.00242445,0.000447891
716597,0,0.00222469,0.000461879
742190,0,0.00207673,0.000427284
767783,0,0.00194014,0.000545173
793375,0,0.00187486,0.000728851
818968,0,0.00184765,0.000964564
844561,0,0.00185922,0.00109237
870154,0,0.00181741,0.00110196
895746,0,0.00192368,0.000951353
921339,0,0.00200472,0.000845785
946932,0,0.00212654,0.000618548
972525,-2.11467e-07,0.0021853,0.000483108
998117,0,0.00234022,0.000391421
1.02371e+06,0,0.00249585,0.000362952
1.0493e+06,0,0.00265583,0.000336851
1.0749e+06,0,0.00288776,0.000203656
1.10049e+06,0,0.00311391,0.000168102
1.12608e+06,0,0.00313509,0.000216965
1.15167e+06,0,0.00312515,0.000279418
1.17727e+06,0,0.00306067,0.000258409
1.20286e+06,0,0.00289727,0.000286195
1.22845e+06,0,0.00267799,0.000338175
1.25404e+06,0,0.00244028,0.000373846
1.27964e+06,0,0.00209057,0.000469937
1.30523e+06,0,0.00176248,0.000592641
1.33082e+06,0,0.00147364,0.000688809
1.35642e+06,0,0.00119199,0.000685969
1.38201e+06,0,0.000901778,0.000809199
1.4076e+06,0,0.000587606,0.000882006
1.43319e+06,0,0.000314856,0.000979967
1.45879e+06,0,9.85125e-05,0.00101822
1.48438e+06,0,-8.53582e-05,0.00108502
1.50997e+06,0,-0.000151704,0.00112261
1.53557e+06,0,-0.000173655,0.00114072
1.56116e+06,0,-8.87419e-05,0.00111173
1.58675e+06,0,0.000103474,0.00105766
1.61234e+06,0,0.000294899,0.000964441
1.63794e+06,0,0.000461641,0.000839767
1.66353e+06,0,0.000654629,0.000760254
1.68912e+06,0,0.000829848,0.000702378
1.71471e+06,0,0.00098452,0.000635061
1.74031e+06,0,0.00111426,0.000563202
1.7659e+06,0,0.00123435,0.000485686
1.79149e+06,0,0.00130171,0.00039827
1.81709e+06,0,0.00134436,0.000324239
1.84268e+06,0,0.00143634,0.000232319
1.86827e+06,0,0.0014346,0.000177708
1.89386e+06,0,0.00140371,0.000103735
1.91946e+06,0,0.00139515,5.56192e-05
1.94505e+06,0,0.00138975,4.47447e-06
1.97064e+06,0,0.0013523,-4.42354e-05
1.99623e+06,0,0.00131714,-0.000114535
2.02183e+06,0,0.00130396,-0.000192998
2.04742e+06,0,0.00127259,-0.000267495
2.07301e+06,0,0.00126717,-0.000415696
2.09861e+06,0,0.00122998,-0.0005362
2.1242e+06,0,0.00120774,-0.000730988
2.14979e+06,0,0.00119044,-0.000874534
2.17538e+06,0,0.00116448,-0.00106351
2.20098e+06,0,0.00113774,-0.00122406
2.22657e+06,0,0.00112249,-0.00131734
2.25216e+06,0,0.00114803,-0.00133068
2.27776e+06,0,0.00112432,-0.00126062
2.30335e+06,0,0.00111473,-0.00109145
2.32894e+06,0,0.00109761,-0.000831214
2.35453e+06,0,0.00107791,-0.000585014
2.38013e+06,0,0.00101809,-0.000380268
2.40572e+06,0,0.0010002,-0.000230357
2.43131e+06,0,0.000973941,-0.000110044
2.4569e+06,0,0.000996982,4.59498e-06
2.4825e+06,0,0.000966887,0.000100021
2.50809e+06,0,0.000874946,0.000194637
2.53368e+06,0,0.000794346,0.000231962
2.55928e+06,0,0.000747264,0.000267273
