id,x coord,y coord,z coord
0,2545.2,764.356,386.693
1,2775.98,860.512,1063.49
2,2418.85,773.815,316.096
3,2552.76,650.06,756.482
4,2637.72,917.064,640.535
5,2315.58,465.793,870.538
6,3050.71,428.883,560.374
7,2913.25,1031.93,753.802
8,2710.79,896.324,835.66
9,2249.83,466.874,510.569
10,2507.73,242.164,534.19
11,2702.62,547.582,845.187
12,2514.14,322.919,395.252
13,2528.39,593.521,497.386
14,3149.68,829.864,355.542
15,2879.12,869.111,300.836
16,2659.12,1043.21,1087.68
17,2542.37,790.813,681.265
18,2789.39,776.862,392.228
19,2305.28,740.113,542.34
20,2430.17,223.619,690.789
21,2466.3,737.161,867.475
22,2877.36,1090.29,713.798
23,2504.53,396.902,982.04
24,2084.7,1083.95,269.818
25,2763.82,904.153,966.244
26,2869.4,695.046,164.581
27,2637.02,656.156,198.026
28,2308.95,487.154,491.292
29,2938.08,515.982,695.712
30,2531.56,1060.65,594.167
31,2541.01,494.593,405.595
32,2533.12,189.639,195.162
33,2648.11,1138.19,849.761
34,2625.56,878.698,540.091
35,2647.41,556.881,354.755
36,2445.42,237.617,404.068
37,2545.21,703.174,804.016
38,2783,779.826,331.323
39,3425.41,1019.84,901.059
40,2833.12,984.556,223.798
41,2552.92,899.261,724.922
42,2613.62,393.776,533.951
43,2548.14,574.934,417.865
44,2581.91,248.773,334.742
45,2223.19,483.386,783.454
46,2662.42,522.628,426.974
47,2565.41,235.551,1053.51
48,2596.27,229.004,222.871
49,2593.86,1007.45,313.983
50,2685.12,854.361,681.285
51,2946.28,555.912,433.447
52,2608.35,803.834,539.529
53,2559.66,787.61,281.25
54,2839.99,892.231,365.37
55,2541.36,929.86,651.127
56,2818.9,1110.45,241.608
57,2405.71,1114.62,417.46
58,2617.54,945.834,782.674
59,2606.26,570.856,150.164
60,3135.93,433.8,583.479
61,2987.58,380.849,819.228
62,2629.06,504.945,750.262
63,2323.89,843.065,222.272
64,2701.7,362.153,246.145
65,2780.33,1075.5,1101.86
66,2556.97,615.164,1023.69
67,2394.98,894.147,698.976
68,2579.9,1029.92,343.606
69,2727.05,418.764,300.06
70,2676,424.376,897.681
71,2717.69,469.878,603.554
72,2907.82,975.209,459.838
73,2948.19,848.715,1018.37
74,2429.63,128.248,827.546
75,2311.86,916.767,715.775
76,2596.06,562.829,675.256
77,2979.89,911.188,374.96
78,2525.95,236.454,702.369
79,2382.15,1074.12,367
80,2738.4,803.307,309.109
81,2907.56,953.494,293.036
82,2475.82,330.223,1064.3
83,2734.75,1172.14,669.24
84,2739.11,312.817,659.099
85,2808.26,799.173,1018.57
86,3164.48,787.085,818.418
87,2597.81,233.5,812.993
88,2165.79,195.804,226.05
89,2654.85,896.143,207.182
90,3130.79,572.56,1092.56
91,2646.4,371.883,798.298
92,2995.39,507.806,967.527
93,2586.18,290.92,463.901
94,2835.75,329.086,947.437
95,2734.13,801.032,1011.06
96,2462.74,1039.64,1080.15
97,2639.03,782.937,317.885
98,2599.5,389.274,605.804
99,2790.24,1010.09,205.034
100,3084.05,571.511,1016.8
101,2542.71,888.47,1141.23
102,2645.34,211.761,1020.98
103,2525.64,774.69,1054.96
104,2842.58,947.17,830.47
105,2289.76,493.44,525.522
106,2600.83,664.531,695.631
107,2448.78,718.977,1020.97
108,2499.76,901.657,657.2
109,2783.03,974.169,789.135
110,2501.49,760.121,898.356
111,2996.61,714.077,462.325
112,2553.37,562.16,657.902
113,2653.11,524.183,919.5
114,3006.83,188.921,915.268
115,2523.39,504.166,212.755
116,2555.69,509.339,1075.73
117,3130.42,1068.15,672.031
118,2567.64,761.845,373.297
119,2488.66,778.269,1063.69
120,2594.83,786.947,513.373
121,2712.82,631.262,961.925
122,2494.38,472.401,921.584
123,2745.64,1079.26,609.376
124,2570.85,1185.85,971.487
125,2762.36,284.679,863.338
126,2588.25,727.342,296.771
127,2534.2,737.114,311.505
128,2916.7,954.37,323.914
129,2939.98,596.893,356.03
130,3237.76,953.692,337.948
131,2495.52,221.198,1026.84
132,2870.27,417.203,301.284
133,2731.52,876.359,179.759
134,3023.66,1077.96,637.064
135,2642.56,188.759,1081.94
136,2469.98,730.021,899.078
137,2903.78,431.457,553.763
138,2746.37,492.99,467.028
139,2751.04,1100.07,728.748
140,2586.49,532.41,171.204
141,2533.29,1091.13,432.708
142,2310.33,190.747,410.132
143,2706.73,1051.05,201.944
144,2900.55,555.969,415.606
145,2948.56,223.366,883.815
146,2791.78,436.226,719.113
147,2458.65,616.525,264.12
148,2484.95,475.024,914.698
149,2379.54,1159.9,953.618
150,2772.69,418.949,257.336
151,2424.98,728.134,427.567
152,2570.83,441.135,940.598
153,2521.64,537.94,384.795
154,2733.31,605.761,762.547
155,2495.98,443.559,425.262
156,2458.23,742.715,200.362
157,2822.6,353.925,233.49
158,2793.82,838.014,286.921
159,2381.91,459.851,874.067
160,2791.26,1054.77,133.729
161,2737.11,829.948,308.295
162,2415.93,197.792,752.619
163,2638.36,379.659,256.359
164,2870.61,784.05,1089.96
165,2742.1,1157.89,701.245
166,2917.27,278.261,217.119
167,2418.09,970.248,1033.58
168,2690.6,245.029,1080.88
169,2686.47,881.612,1132.57
170,2426.49,743.747,1080.11
171,2712.15,346.86,225.456
172,2901.08,998.164,949.839
173,3082.53,180.22,934.003
174,2553.28,633.426,668.831
175,2587.66,386.398,910.842
176,2563.87,1067.31,600.53
177,2819.49,225.222,1028.31
178,2664.64,660.115,872.294
179,2627.76,257.749,340.532
180,2699.28,244.269,836.35
181,2744.89,869.436,1107.27
182,2594.22,474.722,688.176
183,2882.2,329.935,519.846
184,2965.06,340.932,837.197
185,2743.82,783.079,1108.63
186,2720.98,309.952,269.366
187,2830.12,670.291,1047.81
188,2530.21,482.649,761.255
189,2671.78,941.209,645.71
190,2895.67,317.611,465.811
191,2872.77,253.656,738.448
192,2656.34,370.582,918.155
193,2524.68,968.878,1096.71
194,2804.23,1132.46,810.999
195,3012.79,797.308,415.645
196,2769.31,698.811,534.082
197,2609.87,326.906,544.059
198,2650.71,523.619,427.259
199,2709.51,456.753,594.42
200,2670.92,614.515,339.336
201,2709.69,920.762,877.752
202,3126.68,1106.74,173.268
203,2639.36,351.904,297.939
204,2623.47,652.725,621.283
205,2686.91,449.772,587.504
206,2597.6,580.37,719.48
207,2691.09,395.625,879.762
208,3099.69,253.04,939.126
209,2641.49,1123.73,336.978
210,2679.33,811.958,955.122
