id,x coord,y coord,z coord
0,5394.06,694.281,277.858
1,6957,845.558,1155.18
2,5827.53,857.051,269.405
3,6401.5,701.641,787.819
4,6165.92,1033.79,590.074
5,5128.1,439.75,860.657
6,7313.54,544.695,488.07
7,6240.4,1085.46,844.255
8,7022.25,978.872,822.071
9,6111.14,553.945,382.589
10,6641.81,325.623,482.61
11,4857.67,514.1,706.182
12,6182.55,282.953,279.274
13,7345.87,607.473,346.116
14,6234.56,810.532,284.593
15,6345.48,737.686,337.568
16,6908.36,994.404,1135.38
17,7166.7,735.061,730.897
18,5997.28,703.237,374.532
19,6300.47,726.548,524.026
20,7121.68,331.44,556.587
21,6879.84,720.404,984.11
22,6758.84,1141.01,801.285
23,6852.23,450.51,961.548
24,6018.06,1024.47,291.392
25,6409.02,919.799,1078.8
26,5803.95,749.408,189.82
27,6019.42,748.43,173.54
28,5940.97,401.38,556.221
29,4963.02,590.108,677.892
30,6122.74,1185.8,597.753
31,7173.93,533.712,357.896
32,6892.56,139.915,359.314
33,5644.7,1247.36,924.446
34,6823.41,836.703,468.741
35,6415.55,497.724,293.791
36,6158.62,228.165,454.286
37,7428.7,726.778,904.343
38,5860.65,773.824,281.384
39,8209.36,882.705,884.397
40,7674.2,1070.31,232.307
41,6515.6,979.766,710.612
42,7585.07,449.994,609.424
43,5521.39,608.047,341.944
44,5810.73,235.658,350.534
45,5850.16,532.725,716.981
46,6060.62,560.305,279.565
47,4377.76,327.205,1125.3
48,7564.2,229.703,156.242
49,6332.13,988.323,403.747
50,5679.09,838.504,726.934
51,5970.76,488.716,450.463
52,6221.23,721.158,506.669
53,6579.54,856.678,299.403
54,6736.79,880.557,414.433
55,5917.95,1018.44,680.137
56,8300.52,972.304,124.399
57,7555.91,1130.71,411.88
58,6454.72,1040.28,643.602
59,5718.15,556.331,143.543
60,8522.21,515.815,548.385
61,7714.28,290.883,817.405
62,6575.95,600.417,735.311
63,5165.76,862.693,316.399
64,7097.8,284.154,283.949
65,7824.56,1148.84,1062.36
66,7005.93,508.633,1076.95
67,5881.51,994.077,678.511
68,7699.99,1021.71,449.113
69,7074.35,313.701,358.235
70,5889.51,518.707,784.312
71,6661.04,285.171,759.439
72,6852.41,939.875,582.267
73,7431.04,894.238,1108.88
74,5009.15,170.233,835.983
75,6287.99,970.811,676.996
76,5276.65,608.578,645.74
77,7135.49,914.904,428.15
78,6314.92,335.542,704.319
79,5350.63,1048.38,462.873
80,6861.83,959.958,287.064
81,7176.31,994.529,324.848
82,5285.63,349.163,975.928
83,6275.18,1189.04,843.114
84,5315.08,274.375,659.299
85,6341.56,783.358,1124.45
86,6183.38,807.822,913.01
87,5697.39,200.303,838.432
88,6450.47,164.72,213.363
89,6832.46,918.8,142.712
90,7125.29,434.937,978.212
91,7669.88,316.539,782.631
92,5950.69,380.817,881.114
93,6654.21,260.299,517.159
94,7559.97,270.159,916.346
95,5653.11,821.999,1123.01
96,5808.74,1018.14,1101.48
97,5963.89,794.614,304.852
98,6410.56,365.116,723.646
99,6982.17,979.238,129.446
100,7841.93,423.756,1013.7
101,5528.82,910.205,1122.52
102,6360.03,266.36,1117.12
103,5309.75,802.313,1039.98
104,6445.25,1102.98,703.503
105,6939.15,521.699,463.091
106,6068,686.713,786.313
107,7102.45,513.602,1004
108,5485.87,1021.03,692.872
109,6099.77,1086.34,657.026
110,5263.28,680.878,1014.05
111,6074.17,724.151,395.242
112,5938.55,570.671,668.799
113,6741.36,646.228,923.174
114,8262.19,56.7981,859.348
115,7461.85,440.816,380.155
116,7708.7,459.908,960.146
117,6674.4,1153.88,817.235
118,5389.83,704.42,266.94
119,5684.75,698.97,1015.84
120,5971.33,825.91,431.168
121,6146.53,554.139,998.119
122,5864.3,556.246,813.792
123,6303.39,1217.41,556.827
124,4997.55,1175.21,959.765
125,5806.71,330.049,811.72
126,5640.15,798.382,293.119
127,5582.19,787.689,303.756
128,7268.51,1056.79,412.063
129,6056.39,664.085,346.557
130,7961.41,969.34,495.68
131,6595.51,246.205,1138.35
132,6029.06,331.497,320.947
133,6798.17,926.867,146.215
134,7348.75,1220.14,649.353
135,7347.23,265.258,1139.81
136,7326.3,640.514,1012.59
137,7538.25,538.577,469.645
138,5925.27,396.488,537.787
139,5688.28,1068.42,879.972
140,6077.07,480.737,350.748
141,7051.51,1123.85,589.721
142,5486.69,178.691,456.348
143,6546.67,1052.45,146.733
144,7613.3,626.303,283.327
145,6280.8,121.147,1002.22
146,7339.05,342.55,783.897
147,6731.79,684.451,121.63
148,4943.21,584.264,890.178
149,5490.19,1185.36,971.399
150,6735.63,373.123,327.568
151,5900.57,717.748,387.026
152,6877.65,393.593,981.075
153,5700.35,544.044,295.411
154,7412.28,683.703,848.748
155,6058.45,310.558,426.754
156,4898.83,801.253,238.297
157,7316.23,311.392,283.704
158,6418.14,867.879,301.067
159,5476.34,446.447,876.437
160,7501.15,1050.26,1262.6
161,6567.26,890.332,306.465
162,4719.71,172.506,682.587
163,6851.6,315.833,302.577
164,5517.05,783.002,1174.95
165,5426.11,1166.73,836.872
166,6155.29,218.495,259.432
167,5264.65,1020.95,1003.43
168,6100.62,316.933,1141.39
169,5144.51,892.945,1172.91
170,6818.71,613.088,1154.87
171,7353.15,295.794,273.829
172,5452.52,1110.11,998.172
173,7312.72,199.803,1011.77
174,5454.95,670.923,697.994
175,6852.75,558.261,888.698
176,5880.59,1180.61,575.127
177,6200.42,315.277,1140.88
178,8083.16,749.379,900.92
179,6020.97,229.254,329.522
180,6072.88,312.775,895.262
181,5289.1,875.73,1215.21
182,5874.13,507.332,720.796
183,7228.38,398.036,622.779
184,7734.14,280.723,839.843
185,6374.47,889.269,1232.4
186,5970.27,186.902,297.535
187,8300.87,506.709,1083.51
188,5354.75,485.705,645.388
189,5918.11,991.698,590.482
190,6542.74,288.602,468.401
191,4864.27,195.583,709.914
192,7631.35,455.372,912.168
193,5796.43,940.609,1088.84
194,5117.44,1186.07,893.545
195,5992.24,783.79,316.019
196,6348.06,742.335,456.258
197,5740.73,363.526,643.615
198,6069.2,565.831,275.46
199,6608.05,285.872,733.034
200,6425.36,634.531,316.296
201,6677.31,925.885,775.857
202,6629.97,1081.95,47.2945
203,5107.48,363.893,276.069
204,5643.55,610.264,666.913
205,7421.16,351.269,710.597
206,6532.91,660.319,815.712
207,6553.92,520.769,930.08
208,6580.52,198.33,927.152
209,5816.06,1053.41,422.286
210,5264.43,838.503,984.63
211,4284.91,732.294,205.781
212,5290.81,682.973,368.735
213,6845.12,120.12,889.928
214,6530.53,241.572,1071.36
215,6652.28,709.754,812.978
216,6063.93,295.831,912.939
217,6723.08,217.791,365.293
218,7508.3,241.231,1131.48
219,5796.9,637.341,326.086
220,6327.12,405.902,318.83
221,7283.67,232.524,805.79
222,7016.53,652.099,805.336
223,5739.93,724.904,976.815
224,4854,269.622,454.459
225,6530.61,430.932,1077.65
226,7046.97,880.551,526.15
227,8265.71,1259.92,483.833
228,6226.46,880.963,310.508
229,6849.96,527.964,958.955
230,5317.24,685.317,264.813
231,7397.11,714.26,781.226
232,5092.67,914.099,675.747
233,6007.73,678.736,246.271
234,6135.42,929.538,1090.13
235,5790.57,1177.97,1024.82
236,5605.38,694.372,655.67
237,6658.81,709.644,420.371
238,6294.32,664.267,1149.77
239,7400.19,999.636,313.731
240,6462.36,1100.72,1095.97
241,4723.23,256.366,686.605
242,5335.54,782.615,1109.84
243,5602.59,726.036,325.778
244,4845.52,552.164,654.022
245,4765.86,824.359,207.638
246,7011.13,521.157,772.718
247,6111.87,974.965,623.281
248,4785.67,233.62,317.494
249,8039.16,199.357,1094.33
250,5461.7,741.498,1132.24
251,6915.99,593.353,871.842
252,6908.16,1089.78,1084.53
253,6300.52,674.384,592.124
254,6963.28,526.192,907.407
255,6765.02,248.691,982.85
256,5468.89,235.922,308.103
257,5226.45,290.517,1164.38
258,6786.79,834.985,473.272
259,5479.88,1045.32,409.24
260,6229.83,547.74,986.968
261,6854.63,457.253,701.152
262,5974.83,193.888,309.619
263,6250.62,266.85,424.855
264,6587.8,213.676,498.714
265,6848.42,427.868,985.601
266,5351.32,786.762,287.51
267,5042.51,292.486,1068.78
268,6324.88,445.513,889.086
269,7297,360.877,699.596
270,6296.27,388.762,635.272
271,5729.43,719.851,658.056
272,7286.84,366.61,1099.21
273,6742.55,311.204,981.237
274,6341.72,959.02,325.358
275,7566.89,869.985,634.601
276,6511.86,527.981,322.714
277,6796.12,1063.86,106.549
278,6572.29,450.183,889.024
279,5877.93,330.907,327.333
280,5354.35,1078.62,988.898
281,6855.18,1026.53,599.311
282,6738.58,284.151,718.603
283,5569.86,798.783,1146.77
284,7519.28,369.374,889.843
285,6867.39,583.479,307.391
286,5466,1082.69,673.003
287,6569.29,639.383,344.493
288,6846.8,563.122,304.293
289,6803.49,1072.95,896.678
290,7559.07,260.967,133.626
291,5748.06,518.59,678.102
292,7003.04,416.952,969.799
293,6547.46,395.502,885.829
294,7679.02,383.774,685.384
295,5201.24,904.456,178.824
296,6559.59,990.959,418.075
297,7433.32,85.5693,859.775
298,6149.83,890.039,1039.96
299,5963.09,824.195,232.365
300,6963.22,184.963,999.676
301,6127.06,389.342,475.776
302,6105.92,199.245,751.55
303,5645.17,476.105,758.275
304,7263.7,1030.74,846.138
305,7343.14,99.8485,366.155
306,6861.67,458.051,662.148
307,5784.8,844.833,321.632
308,7040.72,620.833,950.976
309,7262.59,516.852,374.387
310,5931.42,730.596,265.974
311,7641.54,914.805,451.052
312,6821.8,442.779,415.909
313,4175.21,182.68,527.83
314,5529.59,686.759,501.457
315,6961.34,534.325,906.668
316,7337.37,319.671,392.4
317,6056.91,370.434,883.336
318,5636.01,489.802,546.188
319,5784.43,685.763,376.338
320,7580.68,287.218,127.944
321,5526.16,345.457,534.335
322,6620.19,602.196,733.141
323,5698.65,244.08,897.807
324,7574.45,997.718,402.272
325,5704.22,204.948,319.326
326,6951.63,302.654,756.119
327,6775.03,996.288,1016.14
328,5535.84,632.808,1039.56
329,7259.02,1150.87,872.911
330,5143.61,143.648,788.476
331,7649.77,451.853,906.308
332,6601.24,616.056,988.655
333,7846.45,648.56,919.825
334,4720.03,628.31,632.463
335,7210.59,412.751,1106
336,6794.06,599.244,556.483
337,6446.84,1075.3,757.52
338,7431.1,1001.75,171.988
339,6513.67,930.327,746.786
340,6431.09,556.914,221.32
341,5920.62,871.702,1102.27
342,8269.04,697.804,851.491
343,8533.52,73.8344,953.403
344,5426.52,1063.33,1017.96
345,6097.81,199.612,326.548
346,6731.44,534.145,894.536
347,8221.9,491.199,931.588
348,6242.44,290.227,1138.09
349,5919,991.594,677.486
350,5899,871.291,1260.65
351,6657.73,827.721,265.803
352,5673.85,186.86,465.321
353,7225.2,1089.22,768.775
354,6024.06,881.326,1119.59
355,7546.16,260.124,336.106
356,7510.31,325.596,909.308
357,7616.71,1082.96,207.456
358,7218.94,914.767,628.697
359,6441.55,231.363,920.805
360,7390.4,704.712,905.682
361,6782.39,874.744,1092.1
362,8547.66,584.802,1089.68
363,6275.03,538.063,209.406
364,5561.14,183.854,478.481
365,6790.85,911.271,565.475
366,7171.42,499.928,683.091
367,8244.71,287.635,982.742
368,6124.18,247.237,685.579
369,6211.39,950.112,1043.45
370,6992.03,1113.23,900.174
371,5722.94,268.65,356.14
372,5456.82,847.357,1240.56
373,6768.69,1172.15,380.736
374,6728.27,1043.08,864.815
375,7311.82,573.974,535.669
376,5511.49,908.258,274.688
377,7281.86,48.2698,978.783
378,7634.58,988.72,347.327
379,7298.3,716.158,731.23
380,7118.03,475.251,759.521
381,6311.38,661.488,787.704
382,7114.27,540.059,654.986
383,6500.17,581.226,702.271
384,6869.18,662.751,1038.56
385,8534.43,265.911,1229.9
386,6992.1,1166.68,599.679
387,7990.23,694.08,787.167
388,5473.43,570.666,674.42
389,6380.3,145.664,514.394
390,6270.18,154.459,311.641
391,5695.07,251.336,349.785
392,6264.82,245.321,279.391
393,6218.85,1079.75,687.822
394,5512.03,885.646,245.152
395,6502.02,490.729,430.52
396,7747.63,560.312,1095.78
397,6840.31,552.797,285.899
398,7007.05,411.707,637.987
399,7707.16,566.129,542.131
400,6475.98,900.757,647.031
401,6770.53,925.65,376.837
402,6587.31,633.334,1015.64
403,7450.56,1133.06,574.864
404,7868.32,756.32,886.819
405,4907.41,762.478,1096.7
406,6884.1,588.508,841.095
407,5884.71,967.789,169.834
408,6391.79,137.789,435.362
409,6410.97,1033.5,593.38
410,5210.55,190.658,709.538
411,7309.65,415.974,1112.18
412,5328.46,722.252,482.916
413,7696.11,288.222,144.935
414,5396.19,1050.27,842.622
415,6561.68,508.761,306.298
416,5473.84,144.059,459.261
417,7282.12,264.887,930.587
418,7399.94,466.302,335.174
419,7577.35,728.179,876.427
420,7325.52,761.92,829.417
421,5665.13,219.734,284.505
422,6916.87,499.56,1078.55
423,6626.8,896.65,353.096
424,7398.76,648.892,605.94
425,5901.03,385.885,823.297
426,8044.39,708.913,914.655
427,7312.8,311.125,275.947
428,7002.97,357.408,693.016
429,6076.45,669.687,770.942
