t,Dx,Dy,Dz
0,0.00115506,7902.45,7962.78
22.097,0.00569842,-0.231509,0.218742
51198.8,1.41929,-0.00574718,0.00846058
102398,1.22217,0.0578822,0.00299758
153596,1.48265,0.0412648,0.0283446
204795,1.39235,-0.00624464,-0.013012
255994,2.04294,0.0339497,-0.0247098
307193,1.66559,0.0144517,0.00568095
358391,1.16602,0.00334619,0.0272667
409590,1.3779,-0.0374581,-0.00986118
460789,1.4466,0.0124933,0.00210541
511988,1.29892,-0.0193566,-0.0507533
563186,1.73953,0.00387137,-0.00796953
614385,2.03284,0.0582342,0.0423584
665584,0.928101,0.0397761,0.00135206
716783,-0.299888,0.0758661,-0.02674
767981,-2.15423,-0.00917358,-0.0104287
819180,-3.72956,-0.00379437,-0.0612175
870379,-4.46154,-0.0187307,-0.00887161
921578,-3.84161,-0.0402747,-0.0285566
972777,-2.5056,-0.0188967,-0.00719023
1.02398e+06,-1.19209,-0.00129821,-0.00845497
1.07517e+06,-0.514891,-0.00122065,0.00245868
1.12637e+06,-0.179871,-0.00346508,0.000583728
1.17757e+06,-0.0703807,-0.00127426,0.00120022
1.22877e+06,-0.0175185,0.00061636,-0.000149032
1.27997e+06,-0.0079825,0.00107557,5.19291e-05
1.33117e+06,-0.00190769,-1.07191e-05,0.000680462
1.38237e+06,-0.000106451,2.27824e-05,0.000422465
1.43357e+06,0,0.000328776,0.00029153
1.48476e+06,0,0.000593041,-2.19859e-05
1.53596e+06,0,0.000687771,-0.000265422
1.58716e+06,0,0.0007044,-0.000572335
1.63836e+06,0,0.0005116,-0.000732932
1.68956e+06,0,0.000324047,-0.000667671
1.74076e+06,0,0.0001256,-0.00051544
1.79196e+06,0,4.76024e-05,-0.000442839
1.84316e+06,0,1.48578e-05,-0.000394451
1.89435e+06,0,-2.10991e-05,-0.000376013
1.94555e+06,0,-5.35326e-05,-0.00035368
1.99675e+06,0,-7.59819e-05,-0.000281716
2.04795e+06,0,-8.09051e-05,-0.000198334
2.09915e+06,0,-9.50743e-05,-0.000142175
2.15035e+06,0,-7.13663e-05,-0.000110062
2.20155e+06,0,-6.83538e-05,-9.33438e-05
2.25275e+06,0,-9.2014e-05,-9.51955e-05
2.30394e+06,0,-9.69583e-05,-8.02253e-05
2.35514e+06,0,-0.000149593,-9.04094e-05
2.40634e+06,0,-0.000127702,-7.20438e-05
2.45754e+06,0,-0.000133325,-0.000103829
2.50874e+06,0,-0.000130461,-7.66124e-05
2.55994e+06,0,-0.000133915,-8.39283e-05
2.61114e+06,0,-0.000128888,-0.000104822
2.66234e+06,0,-0.000169334,-8.29729e-05
2.71353e+06,0,-0.000190631,-9.38455e-05
2.76473e+06,0,-0.000197289,-9.87298e-05
2.81593e+06,0,-0.000202733,-0.00010782
2.86713e+06,0,-0.000192125,-9.77511e-05
2.91833e+06,0,-0.000169584,-9.5103e-05
2.96953e+06,0,-0.000151604,-6.95404e-05
3.02073e+06,0,-0.000153438,-5.59829e-05
3.07193e+06,0,-0.000143887,-4.13861e-05
3.12312e+06,0,-0.000141093,-2.19604e-05
3.17432e+06,0,-0.000146108,-5.28669e-06
3.22552e+06,0,-0.00014654,3.57106e-06
3.27672e+06,0,-0.000136282,1.53957e-05
3.32792e+06,0,-0.000132085,3.4024e-05
3.37912e+06,0,-0.000124281,6.43519e-05
3.43032e+06,0,-0.000126581,6.1454e-05
3.48152e+06,0,-0.00011681,5.89678e-05
3.53271e+06,0,-0.000108506,6.62239e-05
3.58391e+06,0,-0.000100231,6.30896e-05
3.63511e+06,0,-7.47644e-05,5.42968e-05
3.68631e+06,0,-9.28367e-05,7.50715e-05
3.73751e+06,0,-0.000121928,8.3973e-05
3.78871e+06,0,-8.68976e-05,0.000100113
3.83991e+06,0,-8.3535e-05,0.000112268
3.89111e+06,0,-7.1221e-05,0.000112417
3.9423e+06,0,-6.57819e-05,0.000121118
3.9935e+06,0,-6.33435e-05,0.0001363
4.0447e+06,0,-6.24764e-05,0.000136611
4.0959e+06,0,-5.59416e-05,0.00011886
4.1471e+06,0,-4.87185e-05,0.000103503
4.1983e+06,0,-3.8158e-05,8.91998e-05
4.2495e+06,0,-3.82076e-05,7.88524e-05
4.3007e+06,0,-4.17399e-05,6.9972e-05
4.35189e+06,0,-3.12661e-05,4.68364e-05
4.40309e+06,0,-2.5764e-05,4.69722e-05
4.45429e+06,0,-1.99692e-05,4.02474e-05
4.50549e+06,0,-1.44951e-05,3.5126e-05
4.55669e+06,0,-9.23247e-06,2.512e-05
4.60789e+06,0,1.81596e-07,2.18969e-05
4.65909e+06,0,3.80267e-06,1.50085e-05
4.71029e+06,0,6.87141e-06,1.20743e-05
4.76148e+06,0,1.45192e-06,2.0725e-05
4.81268e+06,0,-1.99376e-07,2.18013e-05
4.86388e+06,0,5.73957e-06,1.61678e-05
4.91508e+06,0,8.15959e-06,1.88466e-05
4.96628e+06,0,1.3189e-05,2.19994e-05
5.01748e+06,0,1.6486e-05,2.08352e-05
5.06868e+06,0,1.61113e-05,1.90737e-05
5.11988e+06,0,1.71194e-05,1.93215e-05
