t,Dx,Dy,Dz
0,0.0010556,7903.65,7855.63
22.097,0.00522711,0.0146928,-0.119923
51198.8,1.40915,0.0617059,0.0951962
102398,1.22405,0.101855,-0.0444779
153596,1.12181,-0.019592,-0.072286
204795,2.06442,-0.127081,-0.00149148
255994,1.62768,-0.0734203,-0.0490735
307193,1.34635,0.039202,0.0311626
358391,1.29774,0.0792781,-0.0257959
409590,1.21731,0.00150797,0.00434355
460789,1.19574,-0.000442109,0.0126318
511988,0.933359,-0.000162418,0.0446821
563186,1.3703,0.00304085,0.0273273
614385,1.27606,-0.00731651,-0.0153561
665584,1.29149,0.0139622,0.0577641
716783,0.13012,0.0294383,-0.0198467
767981,-2.46093,0.00774283,-0.0511051
819180,-4.50315,-0.0119237,0.0129488
870379,-4.70672,-0.0082325,0.000839511
921578,-3.34289,0.0149254,0.0112439
972777,-1.8104,0.0118796,-0.00447408
1.02398e+06,-0.863259,0.00604251,-0.00284755
1.07517e+06,-0.291329,0.00488366,0.00382902
1.12637e+06,-0.0821935,0.0083872,0.0075959
1.17757e+06,-0.0209366,0.00563084,0.00584171
1.22877e+06,-0.00714855,0.00382402,0.00406961
1.27997e+06,-0.00052357,0.00133936,0.00447416
1.33117e+06,0,0.00126903,0.00452385
1.38237e+06,0,0.00124472,0.00456893
1.43357e+06,8.09222e-09,0.00103915,0.00406306
1.48476e+06,0,0.00109718,0.00362479
1.53596e+06,0,0.000919202,0.00286265
1.58716e+06,0,0.000872837,0.00255772
1.63836e+06,0,0.000723229,0.00207405
1.68956e+06,0,0.000596505,0.00194398
1.74076e+06,0,0.000415575,0.00169936
1.79196e+06,0,0.000276393,0.00160264
1.84316e+06,0,0.000230824,0.00137443
1.89435e+06,0,0.0002593,0.00113287
1.94555e+06,0,0.000444678,0.0010729
1.99675e+06,0,0.000554175,0.000957394
2.04795e+06,0,0.000501575,0.0008095
2.09915e+06,0,0.000523435,0.000689472
2.15035e+06,0,0.000525431,0.000628422
2.20155e+06,0,0.000463829,0.000564692
2.25275e+06,0,0.000404592,0.000464914
2.30394e+06,0,0.000264609,0.000318548
2.35514e+06,0,0.000108759,0.000186263
2.40634e+06,0,-4.10423e-05,0.000128484
2.45754e+06,0,-8.78162e-05,0.000133908
2.50874e+06,0,9.38528e-06,0.000215761
2.55994e+06,0,0.000212547,0.000354103
2.61114e+06,0,0.000327937,0.000487584
2.66234e+06,0,0.000418236,0.000608655
2.71353e+06,0,0.00053034,0.000725227
2.76473e+06,0,0.000640351,0.000834481
2.81593e+06,0,0.000763063,0.000902291
2.86713e+06,0,0.000802263,0.000978898
2.91833e+06,0,0.000730392,0.000885546
2.96953e+06,0,0.000673747,0.000749054
3.02073e+06,0,0.000631091,0.000647763
3.07193e+06,0,0.000597486,0.000566621
3.12312e+06,0,0.00056513,0.000509833
3.17432e+06,0,0.000541509,0.000447724
3.22552e+06,0,0.000500013,0.000343558
3.27672e+06,0,0.000490583,0.00025203
3.32792e+06,0,0.000499956,0.000191181
3.37912e+06,0,0.000468898,0.000132485
3.43032e+06,0,0.000470385,9.51185e-05
3.48152e+06,0,0.000490414,5.84698e-05
3.53271e+06,0,0.000505304,2.92807e-05
3.58391e+06,0,0.000481849,1.07889e-05
3.63511e+06,0,0.000449474,-3.31626e-06
3.68631e+06,0,0.00042533,-1.80868e-05
3.73751e+06,0,0.000391851,-2.83456e-05
3.78871e+06,0,0.000352874,-4.77045e-05
3.83991e+06,0,0.000321868,-5.54461e-05
3.89111e+06,0,0.000298821,-6.66952e-05
3.9423e+06,0,0.000280494,-7.54729e-05
3.9935e+06,0,0.00027346,-7.2299e-05
4.0447e+06,0,0.000257502,-6.57545e-05
4.0959e+06,0,0.000244366,-5.6252e-05
4.1471e+06,0,0.000227235,-4.95216e-05
4.1983e+06,0,0.000207713,-5.50649e-05
4.2495e+06,0,0.000193321,-5.72539e-05
4.3007e+06,0,0.000176158,-6.47836e-05
4.35189e+06,0,0.000163205,-7.22099e-05
4.40309e+06,0,0.000150547,-8.16565e-05
4.45429e+06,0,0.000141879,-8.98553e-05
4.50549e+06,0,0.000131044,-9.65374e-05
4.55669e+06,0,0.000121124,-0.000103385
4.60789e+06,0,0.000113892,-0.000105268
4.65909e+06,0,0.000119607,-0.000101374
4.71029e+06,0,0.000122811,-9.85978e-05
4.76148e+06,0,0.000101714,-9.88063e-05
4.81268e+06,0,7.72772e-05,-0.00010058
4.86388e+06,0,6.04118e-05,-0.000104407
4.91508e+06,0,5.82531e-05,-9.83646e-05
4.96628e+06,0,6.66175e-05,-9.0418e-05
5.01748e+06,0,7.15865e-05,-8.12531e-05
5.06868e+06,0,7.56958e-05,-7.22439e-05
5.11988e+06,0,7.85877e-05,-5.78107e-05
