backend,n_seeds,alpha_L_mean,alpha_L_ci95,alpha_T1_mean,alpha_T1_ci95,alpha_T2_mean,alpha_T2_ci95,helicity_norm_mean,div_abs_mean,runtime_mean,notes
face,100,0.016355626215700858,0.05321732198287364,0.005938089575048864,0.00506464074969474,0.0033904188242513773,0.004914611041251884,0.079423495,0.0037639161,0.30205709,sampled diagnostics; see per-run CSVs
kh,100,-0.0012385979573194,0.0550970473539016,0.006548196390983816,0.005233408156978396,0.005291668152397353,0.005126311641117345,0.042684476,0.0087916547,0.31392919,sampled diagnostics; see per-run CSVs
