seed,alpha_T1_face,alpha_T1_kh,delta_alpha_T1_kh_minus_face,alpha_T2_face,alpha_T2_kh,delta_alpha_T2_kh_minus_face
0,0.01681852357002936,0.02327581408195402,0.00645729051192466,0.03725846426659118,0.04138781461179315,0.004129350345201975
1,0.03822445365824387,0.03827456393253961,5.011027429574488e-05,-0.02696620838833987,-0.02347078517924965,0.0034954232090902183
2,-0.01739576906534348,-0.01734408160940075,5.1687455942729665e-05,0.02432925668632088,0.01952744984081655,-0.0048018068455043285
3,0.00768711924795789,0.004918435188606236,-0.0027686840593516542,-0.004141670037484437,0.0072011690010826,0.011342839038567035
4,-0.01829155488313554,-0.01371038558623113,0.0045811692969044086,-0.004696254840465553,-0.006055350779907894,-0.001359095939442341
5,0.004452491635300975,0.0129615097546397,0.008509018119338723,-0.0238654569336999,-0.02084425352891994,0.0030212034047799596
6,0.02963019618194958,0.02836247357800021,-0.001267722603949372,0.01264351484733779,0.01690663880277716,0.004263123955439369
7,0.03571889466900029,0.03975925245068502,0.004040357781684732,0.0322061999780788,0.02798227072911031,-0.004223929248968493
8,-0.01341633679868682,-0.01578064952141431,-0.0023643127227274876,-0.008552485476376024,-0.02035564456213033,-0.011803159085754307
9,0.02810695020230487,0.03925856937874923,0.011151619176444364,0.03494892866731389,0.03700616884520715,0.0020572401778932645
10,0.0002471090766623092,0.003519014678394888,0.003271905601732579,0.01365670033061833,0.01325396524727039,-0.00040273508334794095
11,-0.006965696956748433,-0.003586304545075109,0.0033793924116733236,4.800120901636547e-05,0.002830068835409475,0.0027820676263931093
12,0.003991831575932156,0.003105521009030054,-0.0008863105669021016,0.03817087560485671,0.04330568131248147,0.005134805707624757
13,-0.04213671536375114,-0.04254551518229637,-0.00040879981854523295,0.02539415186035185,0.02058463246806059,-0.00480951939229126
14,-0.01042801370459565,-0.01228461330743376,-0.0018565996028381097,0.01726030212885671,0.02182492909500434,0.004564626966147629
15,-0.001047159777993511,-0.01257763145691424,-0.01153047167892073,0.0436161776720517,0.03732193133061374,-0.006294246341437958
16,0.01056787515972392,0.005456182676267053,-0.005111692483456868,0.01281925288058846,0.01198828758299933,-0.0008309652975891299
17,0.01405693417426373,-0.0002327156089173514,-0.014289649783181082,0.03646674712984386,0.03433801037532831,-0.0021287367545155464
18,0.005686349964799592,0.01297512955666607,0.007288779591866477,0.02101850071412482,0.03376108841249516,0.012742587698370337
19,0.0134531208461005,0.010885165408389,-0.0025679554377114992,-0.001024758570804261,0.00903305793684558,0.010057816507649841
20,0.03504161290309421,0.0509816384079968,0.01594002550490259,0.02338547042976716,0.01424371364844701,-0.009141756781320152
21,-0.005134751401335234,-0.002184533132432262,0.002950218268902972,-0.002593565045787545,0.004556792721537931,0.007150357767325475
22,0.004844146321446897,0.01561148586204654,0.010767339540599642,0.0196496963148471,0.0175085961423858,-0.002141100172461302
23,0.04264146666924353,0.03620786408782296,-0.006433602581420575,-0.01096849903755065,-0.003591538466548081,0.007376960571002568
24,-0.006758906022414158,-0.007884967255150695,-0.0011260612327365378,0.005187204815429869,0.01200129283847054,0.00681408802304067
25,0.03582690593471635,0.03886131475433795,0.003034408819621595,-0.003662525098714832,-0.001324280508695665,0.002338244590019167
26,0.02899354102438665,0.02903806922657677,4.4528202190120825e-05,-0.03481009352803376,-0.03837560847754503,-0.003565514949511267
27,-0.02034698732867255,-0.005738557009793295,0.014608430318879257,-0.0100946240428515,-0.006586407476053865,0.0035082165667976355
28,0.03491469514747295,0.02402340114692488,-0.010891294000548075,-0.02437124071173894,-0.01726452522857871,0.00710671548316023
29,0.0239651750190169,0.01506952469560347,-0.008895650323413431,0.06548559866664,0.08010788424396159,0.014622285577321592
30,-0.0297762255686117,-0.03490852004205517,-0.005132294473443471,-0.01287581019147037,-0.009880852015544951,0.002994958175925419
31,0.003078911132234498,0.01189176573700679,0.008812854604772291,0.001981133566182689,-0.0009986716403465835,-0.0029798052065292727
32,-0.0128583691202366,-0.01230155524434813,0.0005568138758884691,-0.01483701575022715,-0.01214181148790522,0.0026952042623219295
33,0.03540903615026473,0.03344462633600633,-0.001964409814258397,-0.004957102907005174,-0.007795760696410435,-0.0028386577894052613
34,-0.04141240104999087,-0.04529046190503796,-0.0038780608550470913,0.003858989504448255,0.009365655563783368,0.005506666059335113
35,0.01873345383715496,0.01945970728501852,0.0007262534478635584,0.029239671415255,0.03084150728001405,0.001601835864759052
36,0.01868079148960969,0.02024507091825653,0.001564279428646842,-0.04931448980477872,-0.05309488466857438,-0.0037803948637956594
37,0.04037905537678599,0.04216206521268905,0.0017830098359030641,-0.02022755035200535,-0.01387044486454688,0.0063571054874584695
38,0.00181294142792467,0.00976032486388067,0.007947383435956,-0.06963533793540481,-0.06898364689788142,0.000651691037523397
39,-0.01037541076868438,-0.02011799923110666,-0.00974258846242228,-0.02105306894835449,-0.02126882517350532,-0.0002157562251508295
40,-0.008307123446014884,-0.00219438372648292,0.006112739719531964,0.006420931161436601,0.007051383796698065,0.0006304526352614642
41,-0.01248708078904019,-0.01301508590753947,-0.0005280051184992796,-0.01040838663816831,-0.002575562484706461,0.00783282415346185
42,0.03594146743973251,0.03625913425457838,0.00031766681484586556,-0.0311446833003698,-0.0302970015163708,0.0008476817839990006
43,0.03638575081613817,0.02885828006763331,-0.007527470748504864,0.03200773493283923,0.01986068220517918,-0.012147052727660052
44,-0.009569576565298485,-0.01040094550346839,-0.0008313689381699053,-0.01285241751161884,-0.01472621422687735,-0.0018737967152585092
45,-0.02103029823693651,-0.02613250581497996,-0.005102207578043447,-0.006339226997252263,0.0004320119459429407,0.006771238943195204
46,0.0916783049208083,0.0861063870992817,-0.005571917821526606,0.04548992737002118,0.05349803555260441,0.008008108182583233
47,-0.01250632089797582,-0.009736293267864677,0.0027700276301111434,0.0220532319030368,0.02904830827124606,0.006995076368209258
48,0.0001972228889979306,0.008685220090557413,0.008487997201559482,-0.0003475326192972716,0.005017963098756445,0.005365495718053717
49,0.01244765158590599,0.01144206935417606,-0.00100558223172993,-0.03578911913126067,-0.03394929824379869,0.0018398208874619779
