metric,n,face_mean,kh_mean,delta_kh_minus_face_mean,delta_kh_minus_face_ci95,delta_kh_minus_face_sd
alpha_L,100,0.016355626215700858,-0.0012385979573194,-0.017594224173020256,0.006809213838301962,0.034740886930112055
alpha_T1,100,0.005938089575048864,0.006548196390983816,0.0006101068159349517,0.0014071552986923241,0.007179363768838389
alpha_T2,100,0.0033904188242513773,0.005291668152397353,0.0019012493281459755,0.0012243644045191126,0.00624675716591384
alpha_Tmean,100,0.004664254199650121,0.005919932271690584,0.0012556780720404635,0.0009115560548909003,0.004650796198422961
helicity_norm_mean,100,0.079423495,0.042684476,-0.036739019,0.0011692526545722505,0.005965574768225768
div_abs_mean,100,0.0037639161,0.0087916547,0.0050277386,0.00034664495160268425,0.0017685966918504297
runtime_seconds,100,0.30205709,0.31392919,0.011872100000000005,0.004785796969641522,0.024417331477762868
face_alpha_T1_minus_T2,100,nan,nan,0.002547670750797487,0.006866935994709003,0.03503538772810716
kh_alpha_T1_minus_T2,100,nan,nan,0.0012565282385864627,0.007295452162935097,0.03722169470885254
