t,Dx,Dy,Dz
0,0.00142599,3951.51,3958.35
44.3933,0.00704275,0.143943,0.00926896
25592.8,0.650151,0.178269,0.0782987
51185.5,0.831935,-0.0839856,0.0255981
76778.3,0.699091,0.139296,-0.208223
102371,0.498629,-0.0064576,0.051578
127964,0.339264,-0.0481756,0.0723985
153557,0.513729,-0.0262721,0.0378492
179149,0.55612,-0.0351915,-0.0926072
204742,0.32655,-0.0151363,0.0326676
230335,-1.98138,0.0298003,0.136843
255928,-1.97855,0.0149837,0.0383451
281520,-0.187585,0.00636144,-0.00477441
307113,0,0.0110812,0.00214335
332706,0,0.0108177,0.00476598
358299,1.94181e-07,0.0100198,0.00680887
383891,0,0.00874936,0.00720293
409484,1.55412e-07,0.00755248,0.00692816
435077,0,0.00623583,0.00608993
460670,0,0.00519964,0.00514448
486262,0,0.00395768,0.00423711
511855,0,0.00319365,0.00340246
537448,0,0.00234852,0.00287352
563041,0,0.00181328,0.0023724
588633,0,0.00140249,0.00177828
614226,0,0.000913795,0.00137293
639819,0,0.000570418,0.00111495
665412,0,0.000267749,0.000869396
691004,0,1.98812e-05,0.00098236
716597,0,-0.000272647,0.00112012
742190,0,-0.000575729,0.00116897
767783,0,-0.000527401,0.00160516
793375,0,-0.000364532,0.0019582
818968,0,-0.000322298,0.00201174
844561,0,-0.000204248,0.00207301
870154,0,-5.78771e-05,0.00209601
895746,0,-2.50156e-05,0.00184019
921339,0,7.54437e-05,0.00188628
946932,0,0.00024378,0.00177808
972525,0,0.000519357,0.00171612
998117,0,0.000969584,0.00186707
1.02371e+06,0,0.00119892,0.00201302
1.0493e+06,0,0.00136909,0.0021301
1.0749e+06,0,0.00139237,0.00224878
1.10049e+06,0,0.0014487,0.00244119
1.12608e+06,0,0.0015748,0.00255559
1.15167e+06,0,0.00157658,0.00265981
1.17727e+06,0,0.00150796,0.00267789
1.20286e+06,0,0.00146091,0.00267522
1.22845e+06,0,0.00128346,0.00263515
1.25404e+06,0,0.0010774,0.00255863
1.27964e+06,0,0.000855834,0.00248072
1.30523e+06,0,0.000712146,0.00233128
1.33082e+06,0,0.000616386,0.00221763
1.35642e+06,0,0.0005245,0.00203272
1.38201e+06,0,0.000495656,0.00185564
1.4076e+06,0,0.000450897,0.00167564
1.43319e+06,0,0.000377417,0.00157123
1.45879e+06,0,0.000320626,0.00143177
1.48438e+06,0,0.000222677,0.00128504
1.50997e+06,0,0.000178716,0.00116064
1.53557e+06,0,0.000156921,0.00103604
1.56116e+06,0,0.000186093,0.000947867
1.58675e+06,0,0.000207723,0.00087251
1.61234e+06,0,0.000198284,0.00083633
1.63794e+06,0,0.00017268,0.000780698
1.66353e+06,0,0.000159253,0.000728374
1.68912e+06,0,0.000168215,0.000711291
1.71471e+06,0,0.000155403,0.000690995
1.74031e+06,0,0.000132649,0.000694031
1.7659e+06,0,0.000118038,0.000685648
1.79149e+06,0,9.50602e-05,0.000656397
1.81709e+06,0,8.89553e-05,0.000623207
1.84268e+06,0,8.21721e-05,0.000611461
1.86827e+06,0,7.82764e-05,0.000608904
1.89386e+06,0,9.95739e-05,0.000605151
1.91946e+06,0,0.000111026,0.000583498
1.94505e+06,0,0.000106889,0.000535099
1.97064e+06,0,9.92003e-05,0.000483872
1.99623e+06,0,8.3858e-05,0.000439402
2.02183e+06,0,7.93411e-05,0.000428483
2.04742e+06,0,7.3834e-05,0.000406334
2.07301e+06,0,5.16793e-05,0.000387811
2.09861e+06,0,3.44073e-05,0.00038535
2.1242e+06,0,3.04604e-05,0.000382314
2.14979e+06,0,5.86443e-05,0.000375779
2.17538e+06,0,7.13617e-05,0.000355031
2.20098e+06,0,8.85366e-05,0.000328203
2.22657e+06,0,9.89646e-05,0.00030911
2.25216e+06,0,0.000108705,0.000285445
2.27776e+06,0,0.000110441,0.000267943
2.30335e+06,0,0.000113139,0.000246344
2.32894e+06,0,0.000138846,0.00022878
2.35453e+06,0,0.000154882,0.000206409
2.38013e+06,0,0.00015382,0.000185368
2.40572e+06,0,0.000146497,0.000150951
2.43131e+06,0,0.00014924,0.000120699
2.4569e+06,0,0.000127101,8.41459e-05
2.4825e+06,0,0.000110996,6.71664e-05
2.50809e+06,0,9.963e-05,6.10931e-05
2.53368e+06,0,8.6409e-05,5.57633e-05
2.55928e+06,0,7.20388e-05,4.60754e-05
