id,x coord,y coord,z coord
0,5119.79,710.831,398.132
1,5119.74,931.588,1061.76
2,5119.67,719.312,330.196
3,5119.99,619.499,645.84
4,5119.97,878.336,561.344
5,5119.12,432.736,866.04
6,5119.91,468.922,589.965
7,5119.99,1025.91,730.506
8,5119.82,877.784,780.422
9,5119.99,423.388,427.782
10,5119.91,151.381,521.547
11,5119.95,432.741,866.021
12,5119.89,297.523,389.299
13,5119.77,638.965,425.683
14,5119.76,721.071,398.322
15,5119.93,860.298,252.887
16,5120,953.388,1069.15
17,5119.85,772.762,637.435
18,5119.54,711.53,398.203
19,5119.96,656.357,570.276
20,5119.86,168.011,630.939
21,5119.75,783.755,864.551
22,5119.71,1026.46,728.277
23,5119.87,449.432,903.642
24,5119.99,1077.68,300.322
25,5119.81,931.56,1061.6
26,5119.91,678.082,228.671
27,5119.83,677.727,229.054
28,5119.98,423.387,425.702
29,5119.98,611.42,630.475
30,5119.62,1051.46,590.854
31,5119.92,423.444,424.416
32,5120,249.158,200.536
33,5119.78,1049.55,870.579
34,5120,878.311,560.988
35,5119.89,595.923,350.048
36,5119.73,216.79,349.843
37,5120,652.067,791.934
38,5119.68,714.949,333.52
39,5119.97,1019.82,908.457
40,5119.98,928.689,233.145
41,5119.94,877.247,775.899
42,5119.99,359.209,508.175
43,5119.94,681.46,391.863
44,5119.91,216.579,348.564
45,5119.94,432.846,865.853
46,5119.89,657.82,411.296
47,5119.69,256.715,1113.92
48,5119.77,250.063,202.174
49,5119.74,987.778,412.49
50,5119.75,886.939,659.026
51,5119.94,663.509,407.064
52,5119.81,800.66,490.416
53,5119.72,854.889,247.967
54,5119.71,750.196,397.281
55,5119.74,885.317,599.142
56,5119.98,1035.96,184.691
57,5119.24,1152.48,429.068
58,5119.65,877.848,780.976
59,5119.82,615.892,165.761
60,5119.76,468.998,590.005
61,5119.87,432.734,866.02
62,5119.95,546.61,756.238
63,5119.42,833.168,225.818
64,5119.93,399.081,237.528
65,5119.98,1064.63,1144.03
66,5119.63,619.448,1038.52
67,5119.87,893.925,641.512
68,5119.67,987.794,413.057
69,5119.91,426.566,292.024
70,5119.78,432.736,866.041
71,5120,468.256,590.497
72,5119.97,953.847,457.374
73,5120,931.472,1061.61
74,5119.6,113.895,836.781
75,5119.75,878.615,768.983
76,5119.71,613.138,632.473
77,5119.93,914.989,328.06
78,5119.78,196.469,669.807
79,5119.81,1152.48,429.068
80,5119.56,723.31,326.69
81,5119.96,911.946,323.394
82,5119.75,261.449,1113.54
83,5119.93,1200.33,639.913
84,5120,289.707,659.885
85,5119.98,777.284,1003.04
86,5119.87,783.945,862.664
87,5119.88,238.4,804.917
88,5119.81,215.932,345.202
89,5119.99,896.241,180.566
90,5119.99,494.872,1115.7
91,5119.78,395.979,831.535
92,5119.79,464.971,922.206
93,5119.81,265.558,408.744
94,5119.99,291.688,898.448
95,5119.99,777.066,1002.76
96,5119.98,933.198,1061.06
97,5119.61,719.052,330.43
98,5119.83,403.8,664.792
99,5120,1027.58,178.078
100,5119.97,515.464,1100.87
101,5119.88,937.076,1129.02
102,5119.99,256.682,1113.92
103,5120,777.077,1002.78
104,5119.87,993.209,897.138
105,5119.99,424.386,435.59
106,5119.77,615.532,637.38
107,5119.67,777.02,1002.67
108,5119.55,887.349,608.306
109,5119.84,1026.17,734.238
110,5119.95,784.764,865.562
111,5119.86,707.017,397.132
112,5119.97,612.173,631.016
113,5119.98,433.2,868.351
114,5119.88,179.301,931.027
115,5119.54,580.297,259.28
116,5119.73,470.047,1105.86
117,5119.98,1051.39,590.866
118,5119.66,710.518,398.068
119,5119.84,777.031,1002.7
120,5119.95,794.693,480.035
121,5119.98,549.204,922.9
