t,Dx,Dy,Dz
0,0.00145406,3925.9,3931.35
44.3933,0.00723828,0.108359,-0.135175
25592.8,0.425236,0.0798693,0.00250642
51185.5,0.583502,0.00371599,-0.0155832
76778.3,0.602291,-0.00488342,0.015443
102371,0.611354,-0.079659,-0.0126274
127964,0.991918,-0.0152472,-0.0575359
153557,0.760625,0.0486196,-0.0294746
179149,0.284171,0.0114347,0.0458844
204742,0.23245,0.0649234,0.0435196
230335,-2.14687,-0.0156903,0.0276782
255928,-2.22516,-0.00182679,0.0266266
281520,-0.187699,0.016831,0.0181297
307113,-0.00194583,0.0100483,0.0128868
332706,-4.79493e-07,0.00802528,0.0108577
358299,0,0.0069776,0.0100401
383891,0,0.00589451,0.00936967
409484,0,0.0045062,0.00870764
435077,0,0.00333753,0.00830721
460670,0,0.00233921,0.00832435
486262,0,0.00169959,0.00838702
511855,0,0.0013472,0.00804644
537448,0,0.00132898,0.00756852
563041,0,0.00153026,0.00706792
588633,0,0.00176911,0.00669423
614226,0,0.00197268,0.00624159
639819,0,0.00217941,0.00592657
665412,0,0.00244378,0.00595888
691004,0,0.00264605,0.00616423
716597,0,0.00281035,0.00646757
742190,0,0.00287307,0.00653538
767783,0,0.00292217,0.00628817
793375,0,0.00286909,0.00584607
818968,0,0.00281806,0.00520473
844561,0,0.0027132,0.00450893
870154,0,0.00272973,0.00388742
895746,0,0.00277253,0.00333407
921339,0,0.00282557,0.00283946
946932,0,0.00285022,0.00249765
972525,0,0.00285327,0.00220706
998117,0,0.00282582,0.00202564
1.02371e+06,0,0.00285713,0.001893
1.0493e+06,0,0.00290424,0.00180152
1.0749e+06,0,0.002878,0.00170241
1.10049e+06,0,0.00281439,0.00164165
1.12608e+06,0,0.00266827,0.00159651
1.15167e+06,0,0.00243626,0.00152226
1.17727e+06,0,0.0023509,0.00149406
1.20286e+06,0,0.00220745,0.00139418
1.22845e+06,0,0.00205832,0.00131614
1.25404e+06,0,0.00206253,0.00118671
1.27964e+06,0,0.00207533,0.00106356
1.30523e+06,0,0.00209439,0.000946821
1.33082e+06,0,0.00214393,0.000836426
1.35642e+06,0,0.00219839,0.000694617
1.38201e+06,0,0.00225662,0.000565298
1.4076e+06,0,0.00233328,0.000451905
1.43319e+06,0,0.00239001,0.000354034
1.45879e+06,0,0.00239825,0.00025718
1.48438e+06,0,0.0023964,0.00017066
1.50997e+06,0,0.00236195,7.01414e-05
1.53557e+06,0,0.00236632,-4.80102e-07
1.56116e+06,0,0.0022737,-3.44244e-05
1.58675e+06,0,0.00216386,-6.75072e-05
1.61234e+06,0,0.00202054,-9.80951e-05
1.63794e+06,0,0.00186806,-0.000144273
1.66353e+06,0,0.00169743,-0.000173971
1.68912e+06,0,0.00150381,-0.000217938
1.71471e+06,0,0.00134417,-0.00026154
1.74031e+06,0,0.00121879,-0.000302102
1.7659e+06,0,0.00109562,-0.000328467
1.79149e+06,0,0.00103544,-0.000330787
1.81709e+06,0,0.0009758,-0.000335632
1.84268e+06,0,0.000944849,-0.000335578
1.86827e+06,0,0.00094762,-0.000326238
1.89386e+06,0,0.000941731,-0.000321083
1.91946e+06,0,0.000970084,-0.000326827
1.94505e+06,0,0.000979474,-0.000318959
1.97064e+06,0,0.000993903,-0.000322586
1.99623e+06,0,0.000984035,-0.000323693
2.02183e+06,0,0.000930277,-0.000307163
2.04742e+06,0,0.000899078,-0.000294309
2.07301e+06,0,0.000808004,-0.00028088
2.09861e+06,0,0.000722911,-0.000265725
2.1242e+06,0,0.000644736,-0.00026282
2.14979e+06,0,0.000543356,-0.000258831
2.17538e+06,0,0.000461716,-0.000247257
2.20098e+06,0,0.000382053,-0.000223141
2.22657e+06,0,0.000301079,-0.00020171
2.25216e+06,0,0.000244342,-0.000184504
2.27776e+06,0,0.000204103,-0.000161648
2.30335e+06,0,0.000159131,-0.000138901
2.32894e+06,0,0.000141377,-0.000129209
2.35453e+06,0,9.87225e-05,-0.000113301
2.38013e+06,0,7.1078e-05,-8.67911e-05
2.40572e+06,0,4.02299e-05,-6.99432e-05
2.43131e+06,0,3.66777e-06,-5.51988e-05
2.4569e+06,0,-1.55009e-05,-4.46065e-05
2.4825e+06,0,-3.91581e-05,-4.93415e-05
2.50809e+06,0,-7.1361e-05,-6.02984e-05
2.53368e+06,0,-0.000102774,-6.99748e-05
2.55928e+06,0,-0.000138739,-9.56708e-05
