t,Dx,Dy,Dz
0,0.000608019,13402.2,13432.5
12.8905,0.0030343,0.00889105,-0.162366
102395,2.42734,0.00405238,0.084681
204791,3.01565,0.0367033,-0.0224028
307186,3.23076,0.0598014,0.0257238
409581,2.69783,0.0458256,0.014656
511977,2.75849,0.0589966,0.00115198
614372,2.63355,0.0352609,0.0186149
716767,2.04913,0.0919079,-0.00918555
819163,1.81744,0.042069,0.0339005
921558,2.2065,0.0521518,0.018559
1.02395e+06,2.09295,0.0443585,0.0425094
1.12635e+06,2.46092,0.0256894,0.00906918
1.22874e+06,2.9838,0.0204346,-0.0605273
1.33114e+06,3.01079,-0.0073566,0.0124277
1.43353e+06,2.79473,0.0202534,-0.058271
1.53593e+06,3.01672,0.0449303,0.00678653
1.63833e+06,2.86953,-0.0378434,0.0955543
1.74072e+06,2.4295,0.0113572,7.29542e-05
1.84312e+06,2.92514,0.0112966,0.0375649
1.94551e+06,2.62061,-0.0298045,0.0419178
2.04791e+06,1.48739,-0.000503291,0.0240944
2.1503e+06,1.46056,0.0515064,0.0494204
2.2527e+06,0.930277,0.000189318,0.0694128
2.35509e+06,-0.658661,-0.014228,0.0067464
2.45749e+06,-2.48395,0.00402075,0.0131554
2.55988e+06,-3.64272,0.0443696,0.0490574
2.66228e+06,-5.95805,-0.00192318,-0.0204088
2.76467e+06,-6.24317,-0.00134284,-0.00252706
2.86707e+06,-7.01423,0.0599931,0.0366899
2.96946e+06,-7.06783,0.00678432,-0.0112396
3.07186e+06,-5.64505,-0.00569811,-0.00445855
3.17426e+06,-4.43165,0.0194724,0.0115038
3.27665e+06,-3.57963,0.0148475,-0.00192425
3.37905e+06,-2.65671,-0.00455855,0.00603923
3.48144e+06,-1.78582,-0.00380057,-0.0174638
3.58384e+06,-1.26623,-0.0101514,0.000656146
3.68623e+06,-0.758117,0.00483015,0.000108335
3.78863e+06,-0.539108,0.00127109,0.00112292
3.89102e+06,-0.298331,0.00751485,-0.000455522
3.99342e+06,-0.236528,0.00485598,0.0018206
4.09581e+06,-0.136863,0.00683183,-0.00420948
4.19821e+06,-0.112279,0.00288746,-4.097e-05
4.3006e+06,-0.0761459,0.000217014,-0.000288881
4.403e+06,-0.0377832,0.00187618,-0.000266622
4.50539e+06,-0.0296706,0.00331951,-0.00181263
4.60779e+06,-0.017726,0.00191832,-0.000370197
4.71019e+06,-0.0116993,0.000685255,-0.00132313
4.81258e+06,-0.00189059,0.00103952,-0.000317383
4.91498e+06,-0.000355433,0.000616505,-0.000347891
5.01737e+06,-0.00034994,0.000271821,-0.000232977
5.11977e+06,0,0.000431269,-0.000290988
5.22216e+06,0,0.000267519,-0.000277172
5.32456e+06,0,0.000196752,-0.000329524
5.42695e+06,0,0.000135271,-0.00035389
5.52935e+06,0,7.16031e-05,-0.000373565
5.63174e+06,0,0.000131566,-0.00040325
5.73414e+06,0,-4.94161e-05,-0.000325185
5.83653e+06,0,-5.57449e-05,-0.000292545
5.93893e+06,0,-7.66812e-05,-0.000280411
6.04132e+06,0,-0.000106287,-0.000259002
6.14372e+06,0,-4.87748e-05,-0.000267071
6.24612e+06,0,-6.46426e-05,-0.000247527
6.34851e+06,0,-9.36318e-05,-0.000207195
6.45091e+06,0,-7.99561e-05,-0.000221726
6.5533e+06,0,-7.59951e-05,-0.000197969
6.6557e+06,0,-7.07647e-05,-0.000184913
6.75809e+06,0,-6.62631e-05,-0.000175786
6.86049e+06,0,-6.54247e-05,-0.000165452
6.96288e+06,0,-5.15265e-05,-0.000137994
7.06528e+06,0,-4.95111e-05,-0.000127224
7.16767e+06,0,-3.60148e-05,-0.000126929
7.27007e+06,0,-3.48255e-05,-0.000122168
7.37246e+06,0,-2.91757e-05,-0.000121763
7.47486e+06,0,-2.71754e-05,-0.000119369
7.57725e+06,0,-2.37076e-05,-0.000101313
7.67965e+06,0,-2.51039e-05,-8.49099e-05
7.78204e+06,0,-1.81873e-05,-7.51486e-05
7.88444e+06,0,-1.65741e-05,-6.47069e-05
7.98684e+06,0,-1.38797e-05,-5.65543e-05
8.08923e+06,0,-1.91957e-05,-4.58885e-05
8.19163e+06,0,-1.78594e-05,-3.39328e-05
8.29402e+06,0,-2.87394e-05,-1.82299e-05
8.39642e+06,0,-1.66645e-05,-2.59658e-05
8.49881e+06,0,-2.09168e-05,-2.47506e-05
8.60121e+06,0,-1.37715e-05,-1.79876e-05
8.7036e+06,0,-2.02659e-05,-3.13581e-06
8.806e+06,0,-2.95996e-05,2.88573e-05
8.90839e+06,0,-3.44041e-05,5.0111e-05
9.01079e+06,0,-2.57499e-05,2.19803e-05
9.11318e+06,0,-2.37008e-05,1.33553e-05
9.21558e+06,0,-2.94062e-05,2.79964e-05
9.31797e+06,0,-2.11074e-05,2.7526e-05
9.42037e+06,0,-1.89836e-05,2.41284e-05
9.52277e+06,0,-7.23438e-06,1.17186e-05
9.62516e+06,0,-9.81774e-06,3.98116e-06
9.72756e+06,0,-1.03675e-05,2.15782e-06
9.82995e+06,0,-1.22229e-05,6.40539e-06
9.93235e+06,0,-1.23303e-05,4.57494e-06
1.00347e+07,0,-1.30574e-05,4.7361e-07
1.01371e+07,0,-1.17024e-05,-5.69376e-07
1.02395e+07,0,-1.54523e-05,3.60539e-06
