t,Dx,Dy,Dz
0,0.000462713,13722.7,13491.1
12.8905,0.00229292,-0.0764628,-0.0878128
102395,1.80694,0.0334942,0.117226
204791,1.89137,0.0612322,0.0502763
307186,2.02946,-0.00622718,0.0448662
409581,1.80591,0.0423304,0.00563492
511977,2.28242,0.049334,0.031752
614372,2.27477,0.0724982,0.0331139
716767,2.11908,0.0411442,0.058969
819163,2.32296,-0.00419906,0.00785065
921558,3.0127,-0.0163722,-0.00781049
1.02395e+06,2.6415,-0.00294383,-0.00849309
1.12635e+06,2.45848,0.0284682,0.0233067
1.22874e+06,2.9385,-0.0275399,0.0476353
1.33114e+06,2.64459,0.0477113,0.00699557
1.43353e+06,2.38454,0.00372047,-0.0310464
1.53593e+06,2.98,0.0386342,0.0477778
1.63833e+06,3.15337,-0.057592,0.0935264
1.74072e+06,3.06344,0.016465,0.0477789
1.84312e+06,1.79879,0.0271588,0.0363383
1.94551e+06,2.62575,0.0345166,0.0326867
2.04791e+06,2.00357,0.0138205,0.0388056
2.1503e+06,2.02101,0.0527073,-0.00465454
2.2527e+06,0.516706,0.01541,0.0473625
2.35509e+06,-0.698484,0.0230867,0.0354917
2.45749e+06,-1.8002,0.00358995,0.00928006
2.55988e+06,-4.13156,0.0172814,0.0237524
2.66228e+06,-6.06357,0.00136492,0.00166426
2.76467e+06,-6.82984,0.0246911,-0.0147018
2.86707e+06,-6.98966,0.0084706,0.0109369
2.96946e+06,-6.07723,0.02499,-0.0152349
3.07186e+06,-5.55396,0.00872409,-0.0193637
3.17426e+06,-3.92045,0.0248148,-0.0193554
3.27665e+06,-3.00014,-0.0197107,-0.01603
3.37905e+06,-1.84698,0.0141978,0.0145266
3.48144e+06,-1.39645,0.0187069,0.00296388
3.58384e+06,-0.899782,-0.0038695,-0.00772185
3.68623e+06,-0.535768,0.00289062,-0.00997063
3.78863e+06,-0.377309,0.00362374,-0.000321247
3.89102e+06,-0.266704,0.00210043,0.000474176
3.99342e+06,-0.128715,0.00355851,0.00179746
4.09581e+06,-0.0726888,0.000951957,0.000766293
4.19821e+06,-0.0983152,0.000551817,0.00538366
4.3006e+06,-0.0796176,-0.00115667,0.0009884
4.403e+06,-0.0465915,0.00105359,-0.000553786
4.50539e+06,-0.0155503,0.000961765,0.00246748
4.60779e+06,-0.0203542,0.0011188,0.00129204
4.71019e+06,-0.038925,0.000853091,0.0014207
4.81258e+06,-0.0103086,0.00102387,0.000995481
4.91498e+06,-0.00430521,0.000488999,0.000452468
5.01737e+06,-0.00329371,0.000363413,0.000219378
5.11977e+06,-0.0112723,3.66217e-05,-0.000123744
5.22216e+06,-0.00508757,6.4137e-05,0.000633596
5.32456e+06,-0.00323563,0.000802285,0.000177898
5.42695e+06,-0.000495917,0.000126605,0.000124564
5.52935e+06,-0.000232473,1.15008e-05,-9.19445e-05
5.63174e+06,0,-4.09932e-05,1.397e-05
5.73414e+06,0,-5.46732e-05,-4.36296e-05
5.83653e+06,0,1.7932e-05,-9.22441e-05
5.93893e+06,0,-1.22969e-05,-0.000100065
6.04132e+06,0,3.48946e-05,-4.18445e-05
6.14372e+06,0,-2.24126e-05,-2.59254e-05
6.24612e+06,0,-2.21733e-05,1.8191e-05
6.34851e+06,0,-3.26e-05,1.42333e-05
6.45091e+06,0,1.96638e-05,4.90225e-05
6.5533e+06,0,3.51419e-05,2.67288e-05
6.6557e+06,0,-1.46304e-07,5.48487e-05
6.75809e+06,0,3.07036e-05,2.10506e-05
6.86049e+06,0,8.04788e-06,3.19448e-05
6.96288e+06,0,5.48468e-06,1.74143e-06
7.06528e+06,0,2.42486e-05,5.57109e-06
7.16767e+06,0,2.23747e-05,3.00522e-06
7.27007e+06,0,3.01439e-05,5.79257e-06
7.37246e+06,0,1.70283e-05,6.51813e-06
7.47486e+06,0,1.26716e-05,2.17522e-06
7.57725e+06,0,9.87975e-06,-6.46499e-06
7.67965e+06,0,6.60552e-06,5.90492e-06
7.78204e+06,0,6.78284e-06,7.72552e-06
7.88444e+06,0,6.64355e-06,8.62896e-06
7.98684e+06,0,1.05942e-05,7.84365e-06
8.08923e+06,0,8.02155e-06,9.41102e-06
8.19163e+06,0,3.12639e-06,2.08288e-05
8.29402e+06,0,3.64577e-06,1.30884e-05
8.39642e+06,0,1.28991e-06,1.40752e-06
8.49881e+06,0,-9.6307e-07,-1.07504e-06
8.60121e+06,0,-1.33536e-06,-6.02316e-06
8.7036e+06,0,-2.54241e-06,-2.58082e-06
8.806e+06,0,2.98817e-06,3.91003e-07
8.90839e+06,0,3.96417e-06,4.28689e-07
9.01079e+06,0,-3.48768e-06,-3.86788e-06
9.11318e+06,0,-8.16775e-07,-6.07381e-06
9.21558e+06,0,1.62496e-06,-6.76021e-06
9.31797e+06,0,1.55839e-06,-1.7123e-06
9.42037e+06,0,2.3888e-06,-2.79461e-06
9.52277e+06,0,7.18278e-06,-6.4656e-06
9.62516e+06,0,5.60687e-06,-5.22974e-06
9.72756e+06,0,8.00043e-06,-6.29699e-06
9.82995e+06,0,1.09643e-05,-4.50591e-06
9.93235e+06,0,1.05216e-05,-5.5079e-06
1.00347e+07,0,9.44281e-06,-8.99991e-06
1.01371e+07,0,8.18012e-06,-5.41883e-06
1.02395e+07,0,3.74401e-06,-5.08232e-06
