t,Dx,Dy,Dz
0,0.000389963,13621.7,13564.1
12.8905,0.00193801,-0.0158659,-0.112668
102395,2.17857,0.0270316,0.106666
204791,2.11567,0.075811,-0.0262121
307186,2.945,-0.0259986,-0.0175257
409581,2.77148,0.0275652,-0.0275395
511977,2.99448,0.0436691,0.0332821
614372,2.82355,0.0121058,0.0515981
716767,3.31475,0.0374646,0.0534871
819163,2.86967,0.0100085,0.0789007
921558,2.8921,0.00530492,0.00990395
1.02395e+06,1.97637,0.0539319,-0.016793
1.12635e+06,2.45327,0.0264503,0.010047
1.22874e+06,2.0269,0.0376159,0.0138194
1.33114e+06,2.75692,0.0330687,0.00639657
1.43353e+06,2.91346,0.0331903,0.0109982
1.53593e+06,2.49113,0.0121521,0.00162955
1.63833e+06,2.85192,0.0410689,0.020419
1.74072e+06,3.35904,0.0100719,0.0246523
1.84312e+06,2.52458,0.0165944,0.0042501
1.94551e+06,2.10743,0.0303396,0.0159993
2.04791e+06,2.99951,-0.00945461,-0.0102305
2.1503e+06,2.48916,-0.0419337,0.0404319
2.2527e+06,1.06181,0.035643,0.0636687
2.35509e+06,-1.30912,0.0225541,-0.0295636
2.45749e+06,-3.49431,0.0244308,-0.016845
2.55988e+06,-5.10997,0.0250032,0.00882819
2.66228e+06,-6.93711,0.0355729,0.0430145
2.76467e+06,-8.06687,0.0192686,0.00834066
2.86707e+06,-7.27742,-0.0114653,0.0203027
2.96946e+06,-6.85157,0.0379931,0.00461743
3.07186e+06,-5.72925,0.0458528,0.0413966
3.17426e+06,-4.37866,-0.0212963,0.00193057
3.27665e+06,-3.02509,0.00887201,0.00880332
3.37905e+06,-2.44265,0.000254939,0.00122592
3.48144e+06,-1.48849,0.00911277,-0.00121381
3.58384e+06,-0.975515,0.0120191,-0.00983319
3.68623e+06,-0.745027,0.00580853,-0.00335092
3.78863e+06,-0.513586,0.00601636,0.00187179
3.89102e+06,-0.397422,0.00711231,0.00874672
3.99342e+06,-0.228844,0.00159685,-0.00184836
4.09581e+06,-0.13756,0.00182116,-0.000790099
4.19821e+06,-0.0934311,0.00175348,0.00104054
4.3006e+06,-0.0822679,-0.00462494,8.05037e-05
4.403e+06,-0.0908095,0.000870739,0.000365911
4.50539e+06,-0.0374589,-4.54227e-05,0.000385013
4.60779e+06,-0.0387197,0.00298097,-0.000406674
4.71019e+06,-0.0284883,0.0011203,0.00170734
4.81258e+06,-0.00894526,-3.53796e-06,-0.000121395
4.91498e+06,-0.0136631,-5.05781e-06,7.92903e-05
5.01737e+06,-0.00443847,-5.85695e-05,0.000336083
5.11977e+06,-0.00385299,-0.00122436,-0.000330964
5.22216e+06,-0.000276345,-9.80734e-05,-6.33059e-05
5.32456e+06,-0.000929624,1.91581e-05,-4.53355e-05
5.42695e+06,-1.1754e-05,-0.000234288,-1.19246e-05
5.52935e+06,-1.18465e-05,-0.000251925,-5.96813e-05
5.63174e+06,-1.1902e-05,-0.000264464,-7.73909e-05
5.73414e+06,-1.20037e-05,-0.000272991,-7.3793e-05
5.83653e+06,-1.21887e-05,-0.000166196,-5.15088e-05
5.93893e+06,-1.23367e-05,0.000101732,-0.00010619
6.04132e+06,-1.24939e-05,3.77306e-06,-8.76671e-05
6.14372e+06,-1.26233e-05,0.000197043,-0.000119884
6.24612e+06,-1.17448e-05,8.3128e-05,-0.000112895
6.34851e+06,-1.18558e-05,1.22688e-05,-0.000127203
6.45091e+06,-1.1976e-05,3.15532e-05,-8.55604e-05
6.5533e+06,-1.2161e-05,5.58853e-05,-0.000114277
6.6557e+06,-1.23274e-05,0.000171801,-0.000106808
6.75809e+06,-1.25401e-05,2.88069e-05,-9.11509e-05
6.86049e+06,-1.26973e-05,0.000245408,-7.27041e-05
6.96288e+06,-1.29008e-05,0.000271539,-6.14292e-05
7.06528e+06,-1.31042e-05,0.000232215,-2.27571e-05
7.16767e+06,-1.33077e-05,3.59733e-05,-2.72491e-05
7.27007e+06,-1.36221e-05,1.43747e-05,-3.09581e-05
7.37246e+06,-1.38996e-05,7.25486e-05,-3.69491e-05
7.47486e+06,-1.4214e-05,2.03576e-05,-2.22248e-05
7.57725e+06,-1.45099e-05,0.000212016,-1.01378e-05
7.67965e+06,-1.48428e-05,9.01352e-05,2.44193e-06
7.78204e+06,-1.52128e-05,3.13442e-05,-2.16414e-05
7.88444e+06,-1.56382e-05,3.08295e-05,-1.68402e-05
7.98684e+06,-1.61005e-05,3.17395e-05,-2.65436e-05
8.08923e+06,-1.65537e-05,3.1707e-05,-3.18613e-05
8.19163e+06,-1.36591e-05,4.26451e-05,-3.67473e-05
8.29402e+06,-1.39643e-05,5.27608e-05,-2.69867e-05
8.39642e+06,-1.43712e-05,2.39441e-05,-2.27947e-05
8.49881e+06,-1.48058e-05,1.65353e-05,-2.20285e-05
8.60121e+06,-1.52867e-05,1.75538e-05,-2.08666e-05
8.7036e+06,-1.57399e-05,2.09837e-05,-2.07151e-05
8.806e+06,-1.62578e-05,2.12507e-05,-1.39965e-05
8.90839e+06,-1.67941e-05,1.99492e-05,-2.12426e-05
9.01079e+06,-1.75525e-05,3.215e-05,-1.78679e-05
9.11318e+06,-1.83663e-05,2.2921e-05,-2.42261e-05
9.21558e+06,-1.91523e-05,2.70622e-05,-2.58307e-05
9.31797e+06,-2.00031e-05,2.91138e-05,-2.84056e-05
9.42037e+06,-2.11591e-05,-8.3975e-07,-1.21827e-05
9.52277e+06,-2.82892e-05,1.69446e-05,-2.14026e-05
9.62516e+06,-3.04625e-05,2.59332e-05,-1.90138e-05
9.72756e+06,-3.32646e-05,4.97023e-06,-2.38938e-05
9.82995e+06,-3.70562e-05,4.96184e-05,1.05324e-05
9.93235e+06,-4.1486e-05,1.07742e-05,-1.06632e-05
1.00347e+07,-4.87363e-05,1.33702e-06,-7.05265e-06
1.01371e+07,-7.66001e-05,-3.64028e-05,2.86429e-05
1.02395e+07,-0.000126677,5.35438e-05,4.57852e-06
