t,Dx,Dy,Dz
0,0.000719684,13443.8,13482.2
12.8905,0.00352227,-0.00261792,-0.0642521
102395,2.21828,0.0567038,0.0702414
204791,2.62625,0.0704954,0.0414712
307186,3.16452,0.00307527,0.0894258
409581,2.91013,0.0789809,0.0249445
511977,2.99164,0.0529648,0.0669554
614372,3.49649,0.000192821,0.0331386
716767,3.05284,0.0536542,0.0336626
819163,3.25675,-0.0217225,0.014646
921558,3.02627,0.00702288,0.00130391
1.02395e+06,2.20823,0.0452358,0.0176796
1.12635e+06,3.07302,0.00926166,-0.0122515
1.22874e+06,3.45067,-0.0122949,-0.0104676
1.33114e+06,2.85678,0.0243046,-0.0046507
1.43353e+06,2.87027,0.00182566,0.0160559
1.53593e+06,2.7257,0.024791,0.0422124
1.63833e+06,2.721,0.0156396,0.0599242
1.74072e+06,3.32202,0.0213159,0.0724003
1.84312e+06,1.9982,0.0239473,0.0174489
1.94551e+06,3.36285,-0.0323164,0.0365455
2.04791e+06,1.38221,0.0642482,-0.0100205
2.1503e+06,1.7468,0.0590826,0.0016427
2.2527e+06,0.106261,0.0203362,0.104217
2.35509e+06,-2.1635,-0.00100541,0.0383155
2.45749e+06,-3.56169,0.0308493,-0.00223467
2.55988e+06,-5.86901,-0.0127627,0.00752258
2.66228e+06,-7.17894,-0.0217444,0.0348336
2.76467e+06,-7.39932,-0.0214863,0.0134389
2.86707e+06,-6.94518,-0.0102304,0.0298356
2.96946e+06,-6.48572,-0.00416349,0.0269996
3.07186e+06,-5.14539,0.0262721,-0.00552704
3.17426e+06,-3.63405,0.014158,-0.00469621
3.27665e+06,-2.71711,0.00547318,0.00279637
3.37905e+06,-1.94653,2.19466e-05,0.00291616
3.48144e+06,-1.37391,-0.000353063,-0.00238309
3.58384e+06,-1.02518,-0.00334964,0.00463428
3.68623e+06,-0.687133,0.00261507,0.000900525
3.78863e+06,-0.463286,0.00156569,0.00334084
3.89102e+06,-0.300499,0.00213891,0.00384401
3.99342e+06,-0.259296,-0.00699806,-0.00226531
4.09581e+06,-0.197735,0.000778949,-0.00709784
4.19821e+06,-0.103979,0.00338067,-0.000955694
4.3006e+06,-0.0793657,0.00147384,0.00292031
4.403e+06,-0.0851002,0.00073708,-0.00078942
4.50539e+06,-0.0440246,0.000500946,-0.000858542
4.60779e+06,-0.0263502,0.000656591,0.00214387
4.71019e+06,-0.0232217,-2.98206e-06,-0.000383614
4.81258e+06,-0.0110081,0.000519312,-0.000168281
4.91498e+06,-0.0453655,0.000505807,-0.00141139
5.01737e+06,-0.00903895,0.000351978,-0.000314212
5.11977e+06,-0.00346669,0.000250721,-0.000248097
5.22216e+06,-0.026746,1.5094e-05,-0.000169351
5.32456e+06,-0.00148584,0.00014319,-0.000336893
5.42695e+06,-0.000744121,0.000171902,1.82257e-06
5.52935e+06,-0.00252205,-0.000277583,0.000559652
5.63174e+06,-0.000213071,0.000180178,7.53705e-05
5.73414e+06,-0.000607021,0.00102789,-0.000466452
5.83653e+06,0,9.03092e-05,-8.98922e-05
5.93893e+06,0,9.4313e-07,-1.04183e-05
6.04132e+06,0,-1.50782e-05,-6.66813e-06
6.14372e+06,0,-8.16862e-06,-1.53106e-05
6.24612e+06,0,-1.04304e-05,2.06506e-07
6.34851e+06,0,-1.55647e-05,4.69725e-06
6.45091e+06,0,-1.25383e-05,-1.18684e-05
6.5533e+06,0,3.60983e-06,-1.72667e-05
6.6557e+06,0,3.58388e-06,-2.241e-06
6.75809e+06,0,1.06493e-05,-1.58047e-05
6.86049e+06,0,-1.03225e-06,3.35539e-06
6.96288e+06,0,-7.40435e-06,1.56805e-05
7.06528e+06,0,-2.22461e-05,1.62235e-07
7.16767e+06,0,-3.03042e-05,-5.86806e-07
7.27007e+06,0,-1.17941e-05,1.92776e-05
7.37246e+06,0,2.51935e-05,1.71769e-05
7.47486e+06,0,2.63971e-05,9.87315e-06
7.57725e+06,0,-8.39506e-07,2.38416e-05
7.67965e+06,0,1.65958e-05,2.30852e-05
7.78204e+06,0,-4.65197e-06,3.47419e-05
7.88444e+06,0,-8.01493e-06,5.60639e-05
7.98684e+06,0,-3.85045e-06,4.80053e-05
8.08923e+06,0,-3.5439e-06,6.09438e-05
8.19163e+06,0,-7.13917e-06,5.78639e-05
8.29402e+06,0,-7.92404e-06,5.25332e-05
8.39642e+06,0,2.02069e-06,5.81795e-05
8.49881e+06,0,1.42101e-05,4.93471e-05
8.60121e+06,0,3.61049e-05,1.77141e-05
8.7036e+06,0,6.53378e-06,2.12437e-05
8.806e+06,0,-8.38599e-06,1.53278e-05
8.90839e+06,0,-1.36604e-05,7.8319e-06
9.01079e+06,0,-1.50925e-05,9.09566e-06
9.11318e+06,0,-1.53486e-05,7.08481e-06
9.21558e+06,0,-2.06032e-05,-2.96788e-06
9.31797e+06,0,-3.22674e-05,-6.67111e-06
9.42037e+06,0,-1.22054e-05,-6.84502e-06
9.52277e+06,0,-1.85956e-06,-6.82013e-07
9.62516e+06,0,-1.31099e-06,-1.85787e-06
9.72756e+06,0,1.77055e-06,2.69474e-06
9.82995e+06,0,6.75868e-06,5.59614e-06
9.93235e+06,0,1.04117e-05,3.8747e-06
1.00347e+07,0,7.82389e-06,6.25631e-06
1.01371e+07,0,6.71595e-06,5.43361e-06
1.02395e+07,0,1.07014e-05,8.95555e-06
