t,Dx,Dy,Dz
0,0.000547499,13747.6,13681.8
12.8905,0.00272186,0.222457,0.0984575
102395,2.20416,0.136369,0.0691747
204791,2.27472,0.0596576,0.039833
307186,2.67017,0.00532789,0.0194539
409581,2.54004,0.00643718,0.00454435
511977,2.83496,-0.00842768,0.027381
614372,2.64856,0.0179851,0.0398104
716767,2.73953,0.00485169,0.0492548
819163,2.82292,-0.0044771,0.036961
921558,3.23725,-0.0445798,0.0286616
1.02395e+06,2.65707,0.0201972,0.0285214
1.12635e+06,3.08216,0.023812,0.0448733
1.22874e+06,3.53641,0.0530722,-0.0108163
1.33114e+06,2.9904,-0.0459963,0.000114266
1.43353e+06,2.6197,0.0205822,0.0750462
1.53593e+06,2.71732,0.0160384,-0.0144912
1.63833e+06,2.63075,-0.00776638,0.0545651
1.74072e+06,2.48796,0.00924667,0.0447471
1.84312e+06,3.05066,-0.0133461,0.0529565
1.94551e+06,3.11732,0.0234156,-0.00179296
2.04791e+06,2.61569,-0.0129888,0.0369195
2.1503e+06,1.58632,0.0195955,0.0179306
2.2527e+06,0.923496,0.0410059,0.0188212
2.35509e+06,-1.12797,0.0395162,-0.0252527
2.45749e+06,-3.08777,-0.000937837,0.0430904
2.55988e+06,-4.55653,-0.0304683,-0.020776
2.66228e+06,-6.86564,0.0347198,0.00800153
2.76467e+06,-7.28768,0.0275216,0.0142686
2.86707e+06,-7.11236,0.00987121,0.0273764
2.96946e+06,-6.77175,0.0310905,-0.0206776
3.07186e+06,-5.20487,0.016847,0.0141412
3.17426e+06,-4.47894,-0.0154389,0.00382585
3.27665e+06,-3.42726,0.012928,-0.0062062
3.37905e+06,-2.3279,0.024324,0.0229511
3.48144e+06,-1.75972,-0.0056851,-0.0120032
3.58384e+06,-1.25588,-0.00216964,0.00713742
3.68623e+06,-1.09622,0.00108178,0.0169485
3.78863e+06,-0.567197,0.00431015,-0.00384721
3.89102e+06,-0.339589,0.00281053,0.00320051
3.99342e+06,-0.263932,0.000728271,0.00641235
4.09581e+06,-0.157624,0.00188151,0.00805559
4.19821e+06,-0.111495,0.00113607,0.00476725
4.3006e+06,-0.0671395,0.000927406,-0.000913655
4.403e+06,-0.067465,0.00335457,0.000581818
4.50539e+06,-0.031346,0.00137144,0.000591073
4.60779e+06,-0.0163871,0.000268763,0.000157906
4.71019e+06,-0.015528,0.000137624,-0.00205793
4.81258e+06,-0.00376608,-2.5053e-05,0.000175055
4.91498e+06,-0.00218198,-0.000347386,3.30869e-06
5.01737e+06,-0.00163808,4.31283e-06,4.20304e-05
5.11977e+06,-0.00318082,-0.000332675,0.0011946
5.22216e+06,-0.000710357,0.000294499,0.000513553
5.32456e+06,0,0.00023265,0.000201426
5.42695e+06,0,-6.14878e-05,0.00018257
5.52935e+06,0,-4.19526e-05,0.000139499
5.63174e+06,0,0.000140376,0.000107512
5.73414e+06,0,-6.27813e-06,0.000121831
5.83653e+06,0,-3.34088e-05,0.0001262
5.93893e+06,0,-4.17032e-05,0.00013469
6.04132e+06,0,-9.94243e-05,0.000235343
6.14372e+06,0,1.3458e-06,6.74291e-05
6.24612e+06,0,3.54401e-06,0.000147198
6.34851e+06,0,9.66513e-05,0.0001566
6.45091e+06,0,3.40146e-05,0.000184644
6.5533e+06,0,-5.08145e-05,0.000186845
6.6557e+06,0,-4.29465e-05,0.000179598
6.75809e+06,0,-1.8285e-05,0.000128936
6.86049e+06,0,-3.35546e-06,0.000161004
6.96288e+06,0,1.09028e-05,0.000166119
7.06528e+06,0,2.91999e-05,0.000183615
7.16767e+06,0,5.61514e-05,0.000195422
7.27007e+06,0,7.47979e-05,0.000165434
7.37246e+06,0,7.85552e-05,0.000152093
7.47486e+06,0,6.27128e-05,0.000133084
7.57725e+06,0,5.19224e-05,0.000126451
7.67965e+06,0,4.84646e-05,0.000131057
7.78204e+06,0,5.00879e-05,0.000125925
7.88444e+06,0,3.53986e-05,0.000101999
7.98684e+06,0,1.10199e-05,0.000102294
8.08923e+06,0,5.14032e-06,9.27603e-05
8.19163e+06,0,-4.83492e-06,9.02684e-05
8.29402e+06,0,-1.24866e-05,7.64767e-05
8.39642e+06,0,-1.8712e-05,5.48101e-05
8.49881e+06,0,-1.34253e-05,2.63196e-05
8.60121e+06,0,-7.99392e-06,2.2699e-05
8.7036e+06,0,3.92094e-06,2.06716e-05
8.806e+06,0,1.30381e-05,1.15927e-05
8.90839e+06,0,1.23716e-06,1.94794e-05
9.01079e+06,0,7.52871e-07,1.98335e-05
9.11318e+06,0,1.68972e-06,1.6397e-05
9.21558e+06,0,1.63686e-06,1.50683e-05
9.31797e+06,0,-1.73858e-06,1.35823e-05
9.42037e+06,0,-1.87732e-06,1.27655e-05
9.52277e+06,0,-1.8598e-06,1.13794e-05
9.62516e+06,0,-1.9498e-06,1.05803e-05
9.72756e+06,0,-1.95574e-06,1.04519e-05
9.82995e+06,0,-2.04141e-06,7.93776e-06
9.93235e+06,0,-3.00946e-06,7.69283e-06
1.00347e+07,0,-4.02375e-06,3.55598e-06
1.01371e+07,0,-6.32298e-06,5.23086e-06
1.02395e+07,0,-9.70777e-06,-4.90092e-07
